"question" "group" "Questionnaire no." "value" "label" "group_label" "display" "non_strat_cutpoints" "stratified" "person_type" "type"
"s_113" "0" "23c" "4" "Meget" "" "0" "1" "1" "pat" "no_cutpoints"
"s_114" "3" "23d" "1" "Nej" "" "3" "1" "1" "pat" "no_cutpoints"
"s_114" "2" "23d" "2" "Lidt" "" "2" "1" "1" "pat" "no_cutpoints"
"s_114" "1" "23d" "3" "En del" "" "1" "1" "1" "pat" "no_cutpoints"
"s_114" "0" "23d" "4" "Meget" "" "0" "1" "1" "pat" "no_cutpoints"
"s_115" "3" "23e" "1" "Nej" "" "3" "1" "1" "pat" "no_cutpoints"
"s_115" "2" "23e" "2" "Lidt" "" "2" "1" "1" "pat" "no_cutpoints"
"s_115" "1" "23e" "3" "En del" "" "1" "1" "1" "pat" "no_cutpoints"
"s_115" "0" "23e" "4" "Meget" "" "0" "1" "1" "pat" "no_cutpoints"
"s_116" "3" "24a" "1" "Nej" "" "3" "1" "1" "pat" "no_cutpoints"
"s_116" "2" "24a" "2" "Lidt" "" "2" "1" "1" "pat" "no_cutpoints"
"s_116" "1" "24a" "3" "En del" "" "1" "1" "1" "pat" "no_cutpoints"
"s_116" "0" "24a" "4" "Meget" "" "0" "1" "1" "pat" "no_cutpoints"
"s_117" "3" "24b" "1" "Nej" "" "3" "1" "1" "pat" "no_cutpoints"
"s_117" "2" "24b" "2" "Lidt" "" "2" "1" "1" "pat" "no_cutpoints"
"s_117" "1" "24b" "3" "En del" "" "1" "1" "1" "pat" "no_cutpoints"
"s_117" "0" "24b" "4" "Meget" "" "0" "1" "1" "pat" "no_cutpoints"
"s_118" "3" "24c" "1" "Nej" "" "3" "1" "1" "pat" "no_cutpoints"
"s_118" "2" "24c" "2" "Lidt" "" "2" "1" "1" "pat" "no_cutpoints"
"s_118" "1" "24c" "3" "En del" "" "1" "1" "1" "pat" "no_cutpoints"
"s_118" "0" "24c" "4" "Meget" "" "0" "1" "1" "pat" "no_cutpoints"
"s_119" "3" "24d" "1" "Nej" "" "3" "1" "1" "pat" "no_cutpoints"
"s_119" "2" "24d" "2" "Lidt" "" "2" "1" "1" "pat" "no_cutpoints"
"s_119" "1" "24d" "3" "En del" "" "1" "1" "1" "pat" "no_cutpoints"
"s_119" "0" "24d" "4" "Meget" "" "0" "1" "1" "pat" "no_cutpoints"
"s_12" "1" "4.2" "1" "Ja, i høj grad" "Ja, i høj grad" "1" "1" "1" "pat" "no_cutpoints"
"s_12" "2" "4.2" "2" "Ja, i nogen grad" "Ja, i nogen grad" "2" "1" "1" "pat" "no_cutpoints"
"s_12" "3" "4.2" "3" "I mindre grad" "I mindre grad" "3" "1" "1" "pat" "no_cutpoints"
"s_12" "4" "4.2" "5" "Nej, slet ikke" "Nej, slet ikke" "4" "1" "1" "pat" "no_cutpoints"
"s_12" "5" "4.2" "4" "Ved ikke" "Ved ikke" "5" "1" "1" "pat" "no_cutpoints"
"s_120" "3" "24e" "1" "Nej" "" "3" "1" "1" "pat" "no_cutpoints"
"s_120" "2" "24e" "2" "Lidt" "" "2" "1" "1" "pat" "no_cutpoints"
"s_120" "1" "24e" "3" "En del" "" "1" "1" "1" "pat" "no_cutpoints"
"s_120" "0" "24e" "4" "Meget" "" "0" "1" "1" "pat" "no_cutpoints"
"s_121" "3" "24f" "1" "Nej" "" "3" "1" "1" "pat" "no_cutpoints"
"s_121" "2" "24f" "2" "Lidt" "" "2" "1" "1" "pat" "no_cutpoints"
"s_121" "1" "24f" "3" "En del" "" "1" "1" "1" "pat" "no_cutpoints"
"s_121" "0" "24f" "4" "Meget" "" "0" "1" "1" "pat" "no_cutpoints"
"s_122" "3" "24g" "1" "Nej" "" "3" "1" "1" "pat" "no_cutpoints"
"s_122" "2" "24g" "2" "Lidt" "" "2" "1" "1" "pat" "no_cutpoints"
"s_122" "1" "24g" "3" "En del" "" "1" "1" "1" "pat" "no_cutpoints"
"s_122" "0" "24g" "4" "Meget" "" "0" "1" "1" "pat" "no_cutpoints"
"s_123" "3" "24h" "1" "Nej" "" "3" "1" "1" "pat" "no_cutpoints"
"s_123" "2" "24h" "2" "Lidt" "" "2" "1" "1" "pat" "no_cutpoints"
"s_123" "1" "24h" "3" "En del" "" "1" "1" "1" "pat" "no_cutpoints"
"s_123" "0" "24h" "4" "Meget" "" "0" "1" "1" "pat" "no_cutpoints"
"s_124" "3" "24i" "1" "Nej" "" "3" "1" "1" "pat" "no_cutpoints"
"s_124" "2" "24i" "2" "Lidt" "" "2" "1" "1" "pat" "no_cutpoints"
"s_124" "1" "24i" "3" "En del" "" "1" "1" "1" "pat" "no_cutpoints"
"s_124" "0" "24i" "4" "Meget" "" "0" "1" "1" "pat" "no_cutpoints"
"s_125" "1" "24j" "1" "Nej" "Nej" "0" NA "0" "pat" "no_cutpoints"
"s_125" "2" "24j" "2" "Lidt" "Lidt" "0" NA "0" "pat" "no_cutpoints"
"s_125" "3" "24j" "3" "En del" "En del" "0" NA "0" "pat" "no_cutpoints"
"s_125" "4" "24j" "4" "Meget" "Meget" "0" NA "0" "pat" "no_cutpoints"
"s_126" "1" "24k" "1" "Nej" "Nej" "0" NA "0" "pat" "no_cutpoints"
"s_126" "2" "24k" "2" "Lidt" "Lidt" "0" NA "0" "pat" "no_cutpoints"
"s_126" "3" "24k" "3" "En del" "En del" "0" NA "0" "pat" "no_cutpoints"
"s_126" "4" "24k" "4" "Meget" "Meget" "0" NA "0" "pat" "no_cutpoints"
"s_127" "1" "47a" "1" "Ja, hele tiden" "Manglende eller nedsat lyst til sex" "1" "1" "1" "pat" "no_cutpoints"
"s_127" "0" "47a" "4" "Ja, men sjældent" "" "0" "1" "1" "pat" "no_cutpoints"
"s_127" "2" "47a" "6" "Ikke relevant" "" "0" "1" "1" "pat" "no_cutpoints"
"s_128" "1" "47c" "1" "Ja, hele tiden" "Fysiske problemer i forhold til at have sex" "1" "1" "1" "pat" "no_cutpoints"
"s_128" "0" "47c" "4" "Ja, men sjældent" "" "0" "1" "1" "pat" "no_cutpoints"
"s_128" "2" "47c" "6" "Ikke relevant" "" "0" "1" "1" "pat" "no_cutpoints"
"s_129" "1" "47b" "1" "Ja, hele tiden" "Nervøsitet for at have sex" "1" "1" "1" "pat" "no_cutpoints"
"s_129" "0" "47b" "4" "Ja, men sjældent" "" "0" "1" "1" "pat" "no_cutpoints"
"s_129" "2" "47b" "6" "Ikke relevant" "" "0" "1" "1" "pat" "no_cutpoints"
"s_130" "1" "26" "1" "Fremragende" "Fremragende" "0" NA "0" "pat" "no_cutpoints"
"s_130" "2" "26" "2" "Vældig godt" "Vældig godt" "0" NA "0" "pat" "no_cutpoints"
"s_130" "3" "26" "3" "Godt" "Godt" "0" NA "0" "pat" "no_cutpoints"
"s_130" "4" "26" "4" "Mindre godt" "Mindre godt" "0" NA "0" "pat" "no_cutpoints"
"s_130" "5" "26" "5" "Dårligt" "Dårligt" "0" NA "0" "pat" "no_cutpoints"
"s_132" "1" "27a" "1" "Altid" "Altid" "0" NA "0" "pat" "no_cutpoints"
"s_132" "2" "27a" "2" "Ofte" "Ofte" "0" NA "0" "pat" "no_cutpoints"
"s_132" "3" "27a" "3" "Sommetider" "Sommetider" "0" NA "0" "pat" "no_cutpoints"
"s_132" "4" "27a" "4" "Sjældent" "Sjældent" "0" NA "0" "pat" "no_cutpoints"
"s_132" "5" "27a" "5" "Aldrig" "Aldrig" "0" NA "0" "pat" "no_cutpoints"
"s_133" "1" "27b" "1" "Altid" "Altid" "0" NA "0" "pat" "no_cutpoints"
"s_133" "2" "27b" "2" "Ofte" "Ofte" "0" NA "0" "pat" "no_cutpoints"
"s_133" "3" "27b" "3" "Sommetider" "Sommetider" "0" NA "0" "pat" "no_cutpoints"
"s_133" "4" "27b" "4" "Sjældent" "Sjældent" "0" NA "0" "pat" "no_cutpoints"
"s_133" "5" "27b" "5" "Aldrig" "Aldrig" "0" NA "0" "pat" "no_cutpoints"
"s_134" "1" "27c" "1" "Altid" "Altid" "0" NA "0" "pat" "no_cutpoints"
"s_134" "2" "27c" "2" "Ofte" "Ofte" "0" NA "0" "pat" "no_cutpoints"
"s_134" "3" "27c" "3" "Sommetider" "Sommetider" "0" NA "0" "pat" "no_cutpoints"
"s_134" "4" "27c" "4" "Sjældent" "Sjældent" "0" NA "0" "pat" "no_cutpoints"
"s_134" "5" "27c" "5" "Aldrig" "Aldrig" "0" NA "0" "pat" "no_cutpoints"
"s_143" "1" "29a" "1" "Sjældent" "Sjældent" "0" NA "0" "pat" "no_cutpoints"
"s_143" "2" "29a" "2" "En gang imellem" "En gang imellem" "0" NA "0" "pat" "no_cutpoints"
"s_143" "3" "29a" "3" "Ofte" "Ofte" "0" NA "0" "pat" "no_cutpoints"
"s_144" "1" "29c" "1" "Sjældent" "Sjældent" "0" NA "0" "pat" "no_cutpoints"
"s_144" "2" "29c" "2" "En gang imellem" "En gang imellem" "0" NA "0" "pat" "no_cutpoints"
"s_144" "3" "29c" "3" "Ofte" "Ofte" "0" NA "0" "pat" "no_cutpoints"
"s_145" "1" "29b" "1" "Sjældent" "Sjældent" "0" NA "0" "pat" "no_cutpoints"
"s_145" "2" "29b" "2" "En gang imellem" "En gang imellem" "0" NA "0" "pat" "no_cutpoints"
"s_145" "3" "29b" "3" "Ofte" "Ofte" "0" NA "0" "pat" "no_cutpoints"
"s_146" "3" "33" "1" "Det meste af tiden" "" "3" "1" "1" "pat" "no_cutpoints"
"s_146" "2" "33" "2" "En stor del af tiden" "" "2" "1" "1" "pat" "no_cutpoints"
"s_146" "1" "33" "3" "En gang imellem" "" "1" "1" "1" "pat" "no_cutpoints"
"s_146" "0" "33" "4" "Aldrig" "" "0" "1" "1" "pat" "no_cutpoints"
"s_147" "0" "34" "1" "Helt som før" "" "0" "1" "1" "pat" "no_cutpoints"
"s_147" "1" "34" "2" "Ikke helt som før" "" "1" "1" "1" "pat" "no_cutpoints"
"s_147" "2" "34" "3" "Kun en smule" "" "2" "1" "1" "pat" "no_cutpoints"
"s_147" "3" "34" "4" "Næsten ikke" "" "3" "1" "1" "pat" "no_cutpoints"
"s_148" "3" "35" "1" "Helt afgjort og ganske slemt" "" "3" "1" "1" "pat" "no_cutpoints"
"s_148" "2" "35" "2" "Ja, men det er ikke så slemt" "" "2" "1" "1" "pat" "no_cutpoints"
"s_148" "1" "35" "3" "En smule, men det bekymrer mig ikke" "" "1" "1" "1" "pat" "no_cutpoints"
"s_148" "0" "35" "4" "Slet ikke" "" "0" "1" "1" "pat" "no_cutpoints"
"s_149" "0" "36" "1" "Lige så meget som altid" "" "0" "1" "1" "pat" "no_cutpoints"
"s_149" "1" "36" "2" "Ikke helt som før" "" "1" "1" "1" "pat" "no_cutpoints"
"s_149" "2" "36" "3" "Helt afgjort ikke som før" "" "2" "1" "1" "pat" "no_cutpoints"
"s_149" "3" "36" "4" "Slet ikke" "" "3" "1" "1" "pat" "no_cutpoints"
"s_150" "3" "37" "1" "Næste hele tiden" "" "3" "1" "1" "pat" "no_cutpoints"
"s_150" "2" "37" "2" "En stor del af tiden" "" "2" "1" "1" "pat" "no_cutpoints"
"s_150" "1" "37" "3" "En gang imellem, men ikke så ofte" "" "1" "1" "1" "pat" "no_cutpoints"
"s_150" "0" "37" "4" "Kun sjældent" "" "0" "1" "1" "pat" "no_cutpoints"
"s_151" "3" "38" "1" "Aldrig" "" "3" "1" "1" "pat" "no_cutpoints"
"s_151" "2" "38" "2" "Ikke ofte" "" "2" "1" "1" "pat" "no_cutpoints"
"s_151" "1" "38" "3" "Somme tider" "" "1" "1" "1" "pat" "no_cutpoints"
"s_151" "0" "38" "4" "Det meste af tiden" "" "0" "1" "1" "pat" "no_cutpoints"
"s_152" "0" "39" "1" "Altid" "" "0" "1" "1" "pat" "no_cutpoints"
"s_152" "1" "39" "2" "Som regel" "" "1" "1" "1" "pat" "no_cutpoints"
"s_152" "2" "39" "3" "Ikke så ofte" "" "2" "1" "1" "pat" "no_cutpoints"
"s_152" "3" "39" "4" "Aldrig" "" "3" "1" "1" "pat" "no_cutpoints"
"s_153" "3" "40" "1" "Næsten hele tiden" "" "3" "1" "1" "pat" "no_cutpoints"
"s_153" "2" "40" "2" "Meget ofte" "" "2" "1" "1" "pat" "no_cutpoints"
"s_153" "1" "40" "3" "Somme tider" "" "1" "1" "1" "pat" "no_cutpoints"
"s_153" "0" "40" "4" "Aldrig" "" "0" "1" "1" "pat" "no_cutpoints"
"s_154" "0" "41" "1" "Aldrig" "" "0" "1" "1" "pat" "no_cutpoints"
"s_154" "1" "41" "2" "En gang imellem" "" "1" "1" "1" "pat" "no_cutpoints"
"s_154" "2" "41" "3" "Ganske ofte" "" "2" "1" "1" "pat" "no_cutpoints"
"s_154" "3" "41" "4" "Meget ofte" "" "3" "1" "1" "pat" "no_cutpoints"
"s_155" "3" "42" "1" "Helt afgjort" "" "3" "1" "1" "pat" "no_cutpoints"
"s_155" "2" "42" "2" "Jeg er ikke helt så omhyggelig, som jeg burde være" "" "2" "1" "1" "pat" "no_cutpoints"
"s_155" "1" "42" "3" "Måske er jeg knap så omhyggelig som før" "" "1" "1" "1" "pat" "no_cutpoints"
"s_155" "0" "42" "4" "Jeg er lige så omhyggelig som altid" "" "0" "1" "1" "pat" "no_cutpoints"
"s_156" "3" "43" "1" "Virkelig meget" "" "3" "1" "1" "pat" "no_cutpoints"
"s_156" "2" "43" "2" "En hel del" "" "2" "1" "1" "pat" "no_cutpoints"
"s_156" "1" "43" "3" "Ikke så meget" "" "1" "1" "1" "pat" "no_cutpoints"
"s_156" "0" "43" "4" "Slet ikke" "" "0" "1" "1" "pat" "no_cutpoints"
"s_157" "0" "44" "1" "Lige så meget som altid" "" "0" "1" "1" "pat" "no_cutpoints"
"s_157" "1" "44" "2" "Knap så meget som jeg plejede" "" "1" "1" "1" "pat" "no_cutpoints"
"s_157" "2" "44" "3" "Helt afgjort mindre end jeg plejede" "" "2" "1" "1" "pat" "no_cutpoints"
"s_157" "3" "44" "4" "Næsten ikke" "" "3" "1" "1" "pat" "no_cutpoints"
"s_158" "3" "45" "1" "Meget ofte" "" "3" "1" "1" "pat" "no_cutpoints"
"s_158" "2" "45" "2" "Ganske ofte" "" "2" "1" "1" "pat" "no_cutpoints"
"s_158" "1" "45" "3" "Ikke særlig ofte" "" "1" "1" "1" "pat" "no_cutpoints"
"s_158" "0" "45" "4" "Aldrig" "" "0" "1" "1" "pat" "no_cutpoints"
"s_159" "0" "46" "1" "Ofte" "" "0" "1" "1" "pat" "no_cutpoints"
"s_159" "1" "46" "2" "Somme tider" "" "1" "1" "1" "pat" "no_cutpoints"
"s_159" "2" "46" "3" "Ikke ofte" "" "2" "1" "1" "pat" "no_cutpoints"
"s_159" "3" "46" "4" "Meget sjældent" "" "3" "1" "1" "pat" "no_cutpoints"
"s_162" "1" "7" "1" "Ja, i meget høj grad" "Ja, i meget høj grad" "0" NA "0" "pat" "no_cutpoints"
"s_162" "2" "7" "2" "Ja, i høj grad" "Ja, i høj grad" "0" NA "0" "pat" "no_cutpoints"
"s_162" "3" "7" "3" "Ja, i nogen grad" "Ja, i nogen grad" "0" NA "0" "pat" "no_cutpoints"
"s_162" "4" "7" "4" "I mindre grad" "I mindre grad" "0" NA "0" "pat" "no_cutpoints"
"s_162" "5" "7" "5" "Nej, slet ikke" "Nej, slet ikke" "0" NA "0" "pat" "no_cutpoints"
"s_162" "6" "7" "6" "Ved ikke" "Ved ikke" "0" NA "0" "pat" "no_cutpoints"
"s_164" "1" "8" "1" "Ja, i meget høj grad" "Ja, i meget høj grad" "0" NA "0" "pat" "no_cutpoints"
"s_164" "2" "8" "2" "Ja, i høj grad" "Ja, i høj grad" "0" NA "0" "pat" "no_cutpoints"
"s_164" "3" "8" "3" "Ja, i nogen grad" "Ja, i nogen grad" "0" NA "0" "pat" "no_cutpoints"
"s_164" "4" "8" "4" "I mindre grad" "I mindre grad" "0" NA "0" "pat" "no_cutpoints"
"s_164" "5" "8" "5" "Nej, slet ikke" "Nej, slet ikke" "0" NA "0" "pat" "no_cutpoints"
"s_164" "6" "8" "6" "Ved ikke/havde ikke behov" "Ved ikke/havde ikke behov" "0" NA "0" "pat" "no_cutpoints"
"s_165" "1" "9" "1" "Ja, i meget høj grad" "Ja, i meget høj grad" "0" NA "0" "pat" "no_cutpoints"
"s_165" "2" "9" "2" "Ja, i høj grad" "Ja, i høj grad" "0" NA "0" "pat" "no_cutpoints"
"s_165" "3" "9" "3" "Ja, i nogen grad" "Ja, i nogen grad" "0" NA "0" "pat" "no_cutpoints"
"s_165" "4" "9" "4" "I mindre grad" "I mindre grad" "0" NA "0" "pat" "no_cutpoints"
"s_165" "5" "9" "5" "Nej, slet ikke" "Nej, slet ikke" "0" NA "0" "pat" "no_cutpoints"
"s_165" "6" "9" "6" "Ved ikke" "Ved ikke" "0" NA "0" "pat" "no_cutpoints"
"s_166" "1" "10" "1" "Ja, i meget høj grad" "Ja, i meget høj grad" "0" NA "0" "pat" "no_cutpoints"
"s_166" "2" "10" "2" "Ja, i høj grad" "Ja, i høj grad" "0" NA "0" "pat" "no_cutpoints"
"s_166" "3" "10" "3" "Ja, i nogen grad" "Ja, i nogen grad" "0" NA "0" "pat" "no_cutpoints"
"s_166" "4" "10" "4" "I mindre grad" "I mindre grad" "0" NA "0" "pat" "no_cutpoints"
"s_166" "5" "10" "5" "Nej, slet ikke" "Nej, slet ikke" "0" NA "0" "pat" "no_cutpoints"
"s_166" "6" "10" "6" "Ved ikke" "Ved ikke" "0" NA "0" "pat" "no_cutpoints"
"s_167" "1" "11" "1" "Ja, i meget høj grad" "Ja, i meget høj grad" "0" NA "0" "pat" "no_cutpoints"
"s_167" "2" "11" "2" "Ja, i høj grad" "Ja, i høj grad" "0" NA "0" "pat" "no_cutpoints"
"s_167" "3" "11" "3" "Ja, i nogen grad" "Ja, i nogen grad" "0" NA "0" "pat" "no_cutpoints"
"s_167" "4" "11" "4" "I mindre grad" "I mindre grad" "0" NA "0" "pat" "no_cutpoints"
"s_167" "5" "11" "5" "Nej, slet ikke" "Nej, slet ikke" "0" NA "0" "pat" "no_cutpoints"
"s_167" "6" "11" "6" "Ved ikke" "Ved ikke" "0" NA "0" "pat" "no_cutpoints"
"s_168" "0" "16.1a" "1" "Ja, i høj grad" "I nogen grad/i høj grad" "0" "1" "1" "pat" "no_cutpoints"
"s_168" "1" "16.1a" "3" "I mindre grad" "Hvorfor du fik/får medicin" "1" "1" "1" "pat" "no_cutpoints"
"s_168" "2" "16.1a" "4" "Ved ikke" "" "0" "1" "1" "pat" "no_cutpoints"
"s_169" "0" "16.1b" "1" "Ja, i høj grad" "I nogen grad/i høj grad" "0" "1" "1" "pat" "no_cutpoints"
"s_169" "1" "16.1b" "3" "I mindre grad" "Mulige bivirkninger af medicin" "1" "1" "1" "pat" "no_cutpoints"
"s_169" "2" "16.1b" "4" "Ved ikke" "" "0" "1" "1" "pat" "no_cutpoints"
"s_170" "0" "16.1c" "1" "Ja, i høj grad" "I nogen grad/i høj grad" "0" "1" "1" "pat" "no_cutpoints"
"s_170" "1" "16.1c" "3" "I mindre grad" "Hvor lang tid du skal/skulle tage medicin" "1" "1" "1" "pat" "no_cutpoints"
"s_170" "2" "16.1c" "4" "Ved ikke" "" "0" "1" "1" "pat" "no_cutpoints"
"s_172_1" "0" "17.2" "0" "Ikke valgt" "Ikke valgt" "0" NA "0" "pat" "no_cutpoints"
"s_172_1" "1" "17.2" "1" "Valgt" "Jeg havde ikke behov for det" "0" NA "0" "pat" "no_cutpoints"
"s_172_2" "0" "17.2" "0" "Ikke valgt" "Ikke valgt" "0" NA "0" "pat" "no_cutpoints"
"s_172_2" "1" "17.2" "1" "Valgt" "Jeg havde ikke lyst" "0" NA "0" "pat" "no_cutpoints"
"s_172_3" "0" "17.2" "0" "Ikke valgt" "Ikke valgt" "0" NA "0" "pat" "no_cutpoints"
"s_172_3" "1" "17.2" "1" "Valgt" "Jeg ville hellere selv finde en måde at komme mig på" "0" NA "0" "pat" "no_cutpoints"
"s_172_4" "0" "17.2" "0" "Ikke valgt" "Ikke valgt" "0" NA "0" "pat" "no_cutpoints"
"s_172_4" "1" "17.2" "1" "Valgt" "Tidspunktet på dagen passede mig ikke" "0" NA "0" "pat" "no_cutpoints"
"s_172_5" "0" "17.2" "0" "Ikke valgt" "Ikke valgt" "0" NA "0" "pat" "no_cutpoints"
"s_172_5" "1" "17.2" "1" "Valgt" "På grund af transport og/eller økonomi" "0" NA "0" "pat" "no_cutpoints"
"s_172_6" "0" "17.2" "0" "Ikke valgt" "Ikke valgt" "0" NA "0" "pat" "no_cutpoints"
"s_172_6" "1" "17.2" "1" "Valgt" "På grund af barrierer i forhold til sprog, religion/kultur o.l." "0" NA "0" "pat" "no_cutpoints"
"s_172_7" "0" "17.2" "0" "Ikke valgt" "Ikke valgt" "0" NA "0" "pat" "no_cutpoints"
"s_172_7" "1" "17.2" "1" "Valgt" "Andre årsager - skriv venligst" "0" NA "0" "pat" "no_cutpoints"
"s_172_8" "0" "17.2" "0" "Ikke valgt" "Ikke valgt" "0" NA "0" "pat" "no_cutpoints"
"s_172_8" "1" "17.2" "1" "Valgt" "Ikke relevant" "0" NA "0" "pat" "no_cutpoints"
"s_17_1" "0" "6a" "0" "Ikke valgt" "Ikke valgt" "0" NA "0" "pat" "no_cutpoints"
"s_17_1" "1" "6a" "1" "Valgt" "Astma" "0" NA "0" "pat" "no_cutpoints"
"s_17_10" "0" "6j" "0" "Ikke valgt" "Ikke valgt" "0" NA "0" "pat" "no_cutpoints"
"s_17_10" "1" "6j" "1" "Valgt" "Kræft" "0" NA "0" "pat" "no_cutpoints"
"s_17_11" "0" "6k" "0" "Ikke valgt" "Ikke valgt" "0" NA "0" "pat" "no_cutpoints"
"s_17_11" "1" "6k" "1" "Valgt" "Migræne eller hyppig hovedpine" "0" NA "0" "pat" "no_cutpoints"
"s_17_12" "0" "6l" "0" "Ikke valgt" "Ikke valgt" "0" NA "0" "pat" "no_cutpoints"
"s_17_12" "1" "6l" "1" "Valgt" "Angst" "0" NA "0" "pat" "no_cutpoints"
"s_17_13" "0" "6m" "0" "Ikke valgt" "Ikke valgt" "0" NA "0" "pat" "no_cutpoints"
"s_17_13" "1" "6m" "1" "Valgt" "Depression" "0" NA "0" "pat" "no_cutpoints"
"s_17_14" "0" "6n" "0" "Ikke valgt" "Ikke valgt" "0" NA "0" "pat" "no_cutpoints"
"s_17_14" "1" "6n" "1" "Valgt" "Diskusprolaps eller andre rygsygdomme" "0" NA "0" "pat" "no_cutpoints"
"s_17_15" "0" "6o" "0" "Ikke valgt" "Ikke valgt" "0" NA "0" "pat" "no_cutpoints"
"s_17_15" "1" "6o" "1" "Valgt" "Anden længerevarende sygdom:" "0" NA "0" "pat" "no_cutpoints"
"s_17_16" "0" "6p" "0" "Ikke valgt" "Ikke valgt" "0" NA "0" "pat" "no_cutpoints"
"s_17_16" "1" "6p" "1" "Valgt" "Jeg har ikke haft andre længerevarende sygdomme" "0" NA "0" "pat" "no_cutpoints"
"s_17_2" "0" "6b" "0" "Ikke valgt" "Ikke valgt" "0" NA "0" "pat" "no_cutpoints"
"s_17_2" "1" "6b" "1" "Valgt" "Allergi (ikke astma)" "0" NA "0" "pat" "no_cutpoints"
"s_17_3" "0" "6c" "0" "Ikke valgt" "Ikke valgt" "0" NA "0" "pat" "no_cutpoints"
"s_17_3" "1" "6c" "1" "Valgt" "Sukkersyge (diabetes)" "0" NA "0" "pat" "no_cutpoints"
"s_17_4" "0" "6d" "0" "Ikke valgt" "Ikke valgt" "0" NA "0" "pat" "no_cutpoints"
"s_17_4" "1" "6d" "1" "Valgt" "Forhøjet blodtryk" "0" NA "0" "pat" "no_cutpoints"
"s_17_5" "0" "6e" "0" "Ikke valgt" "Ikke valgt" "0" NA "0" "pat" "no_cutpoints"
