questionName,variableName,questionType,subType,questionText,choiceValue,choiceText,include_database,include_report,stratified,short_name,Sidsel,question_group,converted_binary,question_number,question_integer,sort_order
s_227,s_227,Closed,Single,"5. Oplevede du, at der hele tiden var en sygeplejerske på sygehuset, som havde overblik over udredning eller behandling af din hjertesygdom",NA,,1,1,1,,0,,NA,5.,5,13
s_17,s_17_1,Closed,Multiple,"6. Har du, eller har du haft, én eller flere af følgende længerevarende sygdomme samtidig med din hjertesygdom?  Sæt gerne flere kryds",1,Astma,1,1,0,,1,,NA,6.,6,14
s_17,s_17_2,Closed,Multiple,"6. Har du, eller har du haft, én eller flere af følgende længerevarende sygdomme samtidig med din hjertesygdom?  Sæt gerne flere kryds",2,Allergi (ikke astma),1,1,0,,1,,NA,6.,6,15
s_17,s_17_3,Closed,Multiple,"6. Har du, eller har du haft, én eller flere af følgende længerevarende sygdomme samtidig med din hjertesygdom?  Sæt gerne flere kryds",3,Sukkersyge (diabetes),1,1,0,,1,,NA,6.,6,16
s_17,s_17_4,Closed,Multiple,"6. Har du, eller har du haft, én eller flere af følgende længerevarende sygdomme samtidig med din hjertesygdom?  Sæt gerne flere kryds",4,Forhøjet blodtryk,1,1,0,,1,,NA,6.,6,17
s_17,s_17_5,Closed,Multiple,"6. Har du, eller har du haft, én eller flere af følgende længerevarende sygdomme samtidig med din hjertesygdom?  Sæt gerne flere kryds",5,"Hjerneblødning, blodprop i hjernen",1,1,0,,1,,NA,6.,6,18
s_17,s_17_6,Closed,Multiple,"6. Har du, eller har du haft, én eller flere af følgende længerevarende sygdomme samtidig med din hjertesygdom?  Sæt gerne flere kryds",6,"Kronisk bronkitis, for store lunger, rygerlunger (emfysem, KOL)",1,1,0,,1,,NA,6.,6,19
s_17,s_17_7,Closed,Multiple,"6. Har du, eller har du haft, én eller flere af følgende længerevarende sygdomme samtidig med din hjertesygdom?  Sæt gerne flere kryds",7,Slidgigt,1,1,0,,1,,NA,6.,6,20
s_17,s_17_8,Closed,Multiple,"6. Har du, eller har du haft, én eller flere af følgende længerevarende sygdomme samtidig med din hjertesygdom?  Sæt gerne flere kryds",8,Leddegigt,1,1,0,,1,,NA,6.,6,21
s_17,s_17_9,Closed,Multiple,"6. Har du, eller har du haft, én eller flere af følgende længerevarende sygdomme samtidig med din hjertesygdom?  Sæt gerne flere kryds",9,Knogleskørhed (Osteoporose),1,1,0,,1,,NA,6.,6,22
s_17,s_17_10,Closed,Multiple,"6. Har du, eller har du haft, én eller flere af følgende længerevarende sygdomme samtidig med din hjertesygdom?  Sæt gerne flere kryds",10,Kræft,1,1,0,,1,,NA,6.,6,23
s_17,s_17_11,Closed,Multiple,"6. Har du, eller har du haft, én eller flere af følgende længerevarende sygdomme samtidig med din hjertesygdom?  Sæt gerne flere kryds",11,Migræne eller hyppig hovedpine,1,1,0,,1,,NA,6.,6,24
s_17,s_17_12,Closed,Multiple,"6. Har du, eller har du haft, én eller flere af følgende længerevarende sygdomme samtidig med din hjertesygdom?  Sæt gerne flere kryds",12,Angst,1,1,0,,1,,NA,6.,6,25
s_17,s_17_13,Closed,Multiple,"6. Har du, eller har du haft, én eller flere af følgende længerevarende sygdomme samtidig med din hjertesygdom?  Sæt gerne flere kryds",13,Depression,1,1,0,,1,,NA,6.,6,26
s_17,s_17_14,Closed,Multiple,"6. Har du, eller har du haft, én eller flere af følgende længerevarende sygdomme samtidig med din hjertesygdom?  Sæt gerne flere kryds",14,Diskusprolaps eller andre rygsygdomme,1,1,0,,1,,NA,6.,6,27
s_17,s_17_15,Closed,Multiple,"6. Har du, eller har du haft, én eller flere af følgende længerevarende sygdomme samtidig med din hjertesygdom?  Sæt gerne flere kryds",15,Anden længerevarende sygdom:,1,1,0,,1,,NA,6.,6,28
s_17,s_17_16,Closed,Multiple,"6. Har du, eller har du haft, én eller flere af følgende længerevarende sygdomme samtidig med din hjertesygdom?  Sæt gerne flere kryds",16,Jeg har ikke haft andre længerevarende sygdomme,1,1,0,,1,,NA,6.,6,29
s_228,s_228,Open,String,"6. Har du, eller har du haft, én eller flere af følgende længerevarende sygdomme samtidig med din hjertesygdom?  Sæt gerne flere kryds - Anden længerevarende sygdom:",NA,,1,0,0,,1,,NA,6.,6,30
s_18,s_18,Closed,Single,"6.1. Tog man på sygehuset hensyn til dine andre sygdomme i forbindelse med, at du blev behandlet for din hjertesygdom?",NA,,1,0,0,,0,,NA,6.1.,6,31
s_162,s_162,Closed,Single,"7. Spurgte sundhedspersonalet ind til dine egne erfaringer med din sygdom/tilstand? 'Erfaringer med din sygdom' kan f.eks. være symptomer, tegn eller konsekvenser.",NA,,1,1,1,,0,,NA,7.,7,32
s_164,s_164,Closed,Single,"8. Var du med på råd, når der blev truffet beslutninger om det, der skulle ske? Det kunne f.eks. være, når der skulles tages beslutninger om undersøgelser, behandling, udskrivelse/afslutning m.m.",NA,,1,0,0,,0,,NA,8.,8,33
s_165,s_165,Closed,Single,"9. Var der overensstemmelse mellem det, du fik at vide af forskellige sundhedspersoner?",NA,,1,0,0,,0,,NA,9.,9,34
s_166,s_166,Closed,Single,"10. Brugte sundhedspersonalet et sprog, som var til at forstå (ikke fagsprog, men forståeligt dansk)?",NA,,1,0,0,,0,,NA,10.,10,35
s_167,s_167,Closed,Single,"11. Fik du samlet set den mundtlige og skriftlige information fra sygehuspersonalet, du havde behov for?",NA,,1,0,0,,0,,NA,11.,11,36
s_231,s_231_1,Closed,Multiple,12. Oplevede du én eller flere af følgende situationer? Sæt gerne flere kryds,1,Min behandling blev udsat eller aflyst,1,1,0,,0,,NA,12.,12,37
s_231,s_231_2,Closed,Multiple,12. Oplevede du én eller flere af følgende situationer? Sæt gerne flere kryds,2,Ventetiden til en behandling var meget lang og/eller behandlingsgarantien blev ikke overholdt,1,1,0,,0,,NA,12.,12,38
s_231,s_231_3,Closed,Multiple,12. Oplevede du én eller flere af følgende situationer? Sæt gerne flere kryds,3,Jeg blev fejlbehandlet (f.eks. forkert operation eller medicin),1,1,0,,0,,NA,12.,12,39
s_231,s_231_4,Closed,Multiple,12. Oplevede du én eller flere af følgende situationer? Sæt gerne flere kryds,4,"Der var fejl i min journal eller vigtig information om mit sygdomsforløb manglede (f.eks. journal, prøvesvar e.l.)",1,1,0,,0,,NA,12.,12,40
s_231,s_231_5,Closed,Multiple,12. Oplevede du én eller flere af følgende situationer? Sæt gerne flere kryds,5,Der opstod alvorlige komplikationer under/efter operation,1,1,0,,0,,NA,12.,12,41
s_231,s_231_6,Closed,Multiple,12. Oplevede du én eller flere af følgende situationer? Sæt gerne flere kryds,6,Andre fejl eller utilsigtede hændelser - skriv venligst,1,1,0,,0,,NA,12.,12,42
s_231,s_231_7,Closed,Multiple,12. Oplevede du én eller flere af følgende situationer? Sæt gerne flere kryds,7,"Nej, jeg har ikke oplevet fejl eller utilsigtede hændelser",1,1,0,,0,,NA,12.,12,43
s_232,s_232,Open,String,12. Oplevede du én eller flere af følgende situationer? Sæt gerne flere kryds - Andre fejl eller utilsigtede hændelser - skriv venligst,NA,,1,0,0,,0,,NA,12.,12,44
s_19,s_19,Closed,Single,Hos din praktiserende læge  13. Har du haft kontakt med din praktiserende læge i forbindelse med din hjertesygdom? ,NA,,1,0,0,,0,,NA,NA,,45
s_229,s_229,Closed,Single,"13.1 Synes du, at du fik den hjælp og støtte fra din praktiserende læge, som du havde brug for?",NA,,1,1,1,,0,,NA,13.1,13,46
s_230,s_230,Closed,Single,"13.2 Oplevede du, at din praktiserende læge var informeret om behandlingen for din hjertesygdom?",NA,,1,0,0,,0,,NA,13.2,13,47
s_52,s_52,Closed,Single,"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? Sæt ét kryds i hver linje - Hvilke undersøgelser og behandlingsforløb du skulle igennem",NA,,1,1,0,Hvilke undersøgelser og behandlingsforløb du skulle igennem,0,s_52,1,14.,14,48
s_52,s_53,Closed,Single,"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? Sæt ét kryds i hver linje - Hvad sygdommen kan betyde for din fremtid",NA,,1,1,0,Hvad sygdommen kan betyde for din fremtid,0,s_52,1,14.,14,49
s_52,s_184,Closed,Single,"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? Sæt ét kryds i hver linje - Hvilke fysiske symptomer/reaktioner, du kan opleve som følge af operation eller øvrig behandling af din hjertesygdom",NA,,1,1,0,"Hvilke fysiske symptomer/reaktioner, du kan opleve",0,s_52,1,14.,14,50
s_52,s_54,Closed,Single,"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? Sæt ét kryds i hver linje - Hvilke følelsesmæssige reaktioner (f.eks. symptomer på angst og depression), du kan opleve som følge af din hjertesygdom",NA,,1,1,0,"Hvilke følelsesmæssige reaktioner, du kan opleve",0,s_52,1,14.,14,51
s_52,s_186,Closed,Single,"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? Sæt ét kryds i hver linje - Hvilke følelsesmæssige reaktioner (f.eks. symptomer på angst og depression) dine pårørende kan opleve som følge af din hjertesygdom",NA,,1,1,0,"Hvilke følelsesmæssige reaktioner, dine pårørende kan opleve",0,s_52,1,14.,14,52
s_52,s_56,Closed,Single,"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? Sæt ét kryds i hver linje - Hvad sygdommen kan betyde for dit forhold til familie, venner m.fl.",NA,,1,1,0,"Hvad sygdommen kan betyde for dit forhold til familie, venner m.fl.",0,s_52,1,14.,14,53
s_52,s_233,Closed,Single,"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? (fortsat) Sæt ét kryds i hver linje - Hvad sygdommen kan betyde for dit sex- og samliv",NA,,1,1,0,Hvad sygdommen kan betyde for dit sex- og samliv,0,s_52,1,14.,14,54
s_52,s_234,Closed,Single,"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? (fortsat) Sæt ét kryds i hver linje - Hvad du selv kan gøre for at få det bedre f.eks. ved fysisk træning eller kost",NA,,1,1,0,Hvad du selv kan gøre for at få det bedre,0,s_52,1,14.,14,55
s_52,s_235,Closed,Single,"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? (fortsat) Sæt ét kryds i hver linje - Hvor du skal henvende dig i tilfælde af forværring af din sygdom",NA,,1,1,0,Hvor du skal henvende dig i tilfælde af forværring af din sygdom,0,s_52,1,14.,14,56
s_52,s_236,Closed,Single,"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? (fortsat) Sæt ét kryds i hver linje - Hvad du kan holde til rent fysisk",NA,,1,1,0,Hvad du kan holde til rent fysisk,0,s_52,1,14.,14,57
s_52,s_237,Closed,Single,"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? (fortsat) Sæt ét kryds i hver linje - Mulige årsager til din hjertesygdom",NA,,1,1,0,Mulige årsager til din hjertesygdom,0,s_52,1,14.,14,58
s_187,s_187,Closed,Single,"15. Havde du pårørende, som du kunne regne med ville hjælpe dig, hvis du havde behov for det? Det kan f.eks. være til følelsesmæssig støtte, praktisk hjælp eller til at holde styr på aftaler på sygehuset. ",NA,,1,0,0,,0,,NA,15.,15,59
s_238,s_238,Closed,Single,15.1 Gjorde personalet dig opmærksom på muligheden for at have din(e) pårørende med til samtaler?,NA,,1,1,1,,0,,NA,15.1,15,60
s_239,s_239,Closed,Single,15.2 Havde du pårørende med til samtaler eller behandling på sygehuset?,NA,,1,0,0,,0,,NA,15.2,15,61
s_66,s_66,Closed,Single,"15.2.1 Inddrog personalet din(e) pårørende, som du ønskede det? Her skelnes ikke mellem, om det var for lidt, for meget eller måden, de blev inddraget på.",NA,,1,1,1,,0,,NA,15.2.1,15,62
s_68,s_68,Closed,Single,"16. Følte du dig tryg ved den medicinske behandling, du fik for din hjertesygdom?",NA,,1,0,0,,0,,NA,16.,16,63
s_168,s_168,Closed,Single,"16.1 Blev du informeret om følgende, da du første gang fik medicinen ordineret? - Hvorfor du fik/får medicin for din hjertesygdom",NA,,1,1,0,Hvorfor du fik/får medicin,0,s_168,1,16.1,16,64
s_168,s_169,Closed,Single,"16.1 Blev du informeret om følgende, da du første gang fik medicinen ordineret? - Mulige bivirkninger af medicin for din hjertesygdom",NA,,1,1,0,Mulige bivirkninger af medicin,0,s_168,1,16.1,16,65
s_168,s_170,Closed,Single,"16.1 Blev du informeret om følgende, da du første gang fik medicinen ordineret? - Hvor lang tid du skal/skulle tage medicin for din hjertesygdom",NA,,1,1,0,Hvor lang tid du skal/skulle tage medicin,0,s_168,1,16.1,16,66
s_70,s_70,Closed,Single,"16.2 Oplevede du bivirkninger af den medicin, du fik for din hjertesygdom?",NA,,1,0,0,,0,,NA,16.2,16,67
s_72,s_72,Closed,Single,"16.2.1 Blev du taget alvorligt, da du henvendte dig til en læge på grund af bivirkninger?",NA,,1,0,0,,0,,NA,16.2.1,16,68
s_28,s_28,Closed,Single,"17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Fysisk træning",NA,,1,1,0,Fysisk træning,1,s_28,1,17.,17,69
s_28,s_29,Closed,Single,"17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Rådgivning om kost",NA,,1,1,0,Rådgivning om kost,1,s_28,1,17.,17,70
s_28,s_30,Closed,Single,"17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Psykisk støtte (f.eks. terapeutforløb, mindfulness, henvisning til psykolog m.m.)",NA,,1,1,0,Psykisk støtte,1,s_28,1,17.,17,71
s_28,s_32,Closed,Single,"17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Undervisning i din sygdom og dens behandling",NA,,1,1,0,Undervisning i din sygdom,1,s_28,1,17.,17,72
s_28,s_33,Closed,Single,"17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Rådgivning om sex og samliv",NA,,1,1,0,Rådgivning om sex og samliv,1,s_28,1,17.,17,73
s_28,s_34,Closed,Single,"17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Individuel samtale om medicin",NA,,1,1,0,Individuel samtale om medicin,1,s_28,1,17.,17,74
s_28,s_35,Closed,Single,"17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Rådgivning om arbejdsmarkedstilknytning, beskæftigelse m.m.",NA,,1,1,0,Rådgivning om arbejdsmarkedstilknytning,1,s_28,1,17.,17,75
s_28,s_194,Closed,Single,"17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Undervisning i de psykiske reaktioner på sygdommen",NA,,1,1,0,Undervisning i de psykiske reaktioner på sygdommen,1,s_28,1,17.,17,76
s_219,s_219,Closed,Single,17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Fysisk træning?,NA,,1,1,0,Fysisk træning,0,s_219,1,17.1,17,77
s_219,s_220,Closed,Single,17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Rådgivning om kost?,NA,,1,1,0,Rådgivning om kost,0,s_219,1,17.1,17,78
s_219,s_221,Closed,Single,"17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Psykisk støtte (f.eks. terapeutforløb, mindfulness, henvisning til psykolog m.m.)?",NA,,1,1,0,Psykisk støtte,0,s_219,1,17.1,17,79
s_219,s_222,Closed,Single,17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Undervisning i din sygdom og dens behandling?,NA,,1,1,0,Undervisning i din sygdom,0,s_219,1,17.1,17,80
s_219,s_223,Closed,Single,17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Rådgivning om sex og samliv?,NA,,1,1,0,Rådgivning om sex og samliv,0,s_219,1,17.1,17,81
s_219,s_224,Closed,Single,17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Individuel samtale om medicin?,NA,,1,1,0,Individuel samtale om medicin,0,s_219,1,17.1,17,82
s_219,s_225,Closed,Single,"17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Rådgivning om arbejdsmarkedstilknytning, beskæftigelse m.m.?",NA,,1,1,0,Rådgivning om arbejdsmarkedstilknytning,1,s_219,1,17.1,17,83
s_219,s_226,Closed,Single,17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Undervisning i de psykiske reaktioner på sygdommen?,NA,,1,1,0,Undervisning i de psykiske reaktioner på sygdommen,0,s_219,1,17.1,17,84
s_172,s_172_1,Closed,Multiple,"17.2 Hvis der var tilbud, som du ikke tog imod, hvorfor? Sæt gerne flere kryds",1,Jeg havde ikke behov for det,1,1,0,,0,,NA,17.2,17,85
s_172,s_172_2,Closed,Multiple,"17.2 Hvis der var tilbud, som du ikke tog imod, hvorfor? Sæt gerne flere kryds",2,Jeg havde ikke lyst,1,1,0,,0,,NA,17.2,17,86
s_172,s_172_3,Closed,Multiple,"17.2 Hvis der var tilbud, som du ikke tog imod, hvorfor? Sæt gerne flere kryds",3,Jeg ville hellere selv finde en måde at komme mig på,1,1,0,,0,,NA,17.2,17,87
s_172,s_172_4,Closed,Multiple,"17.2 Hvis der var tilbud, som du ikke tog imod, hvorfor? Sæt gerne flere kryds",4,Tidspunktet på dagen passede mig ikke,1,1,0,,0,,NA,17.2,17,88
s_172,s_172_5,Closed,Multiple,"17.2 Hvis der var tilbud, som du ikke tog imod, hvorfor? Sæt gerne flere kryds",5,På grund af transport og/eller økonomi,1,1,0,,0,,NA,17.2,17,89
s_172,s_172_6,Closed,Multiple,"17.2 Hvis der var tilbud, som du ikke tog imod, hvorfor? Sæt gerne flere kryds",6,"På grund af barrierer i forhold til sprog, religion/kultur o.l.",1,1,0,,0,,NA,17.2,17,90
s_172,s_172_7,Closed,Multiple,"17.2 Hvis der var tilbud, som du ikke tog imod, hvorfor? Sæt gerne flere kryds",7,Andre årsager - skriv venligst,1,1,0,,0,,NA,17.2,17,91
s_172,s_172_8,Closed,Multiple,"17.2 Hvis der var tilbud, som du ikke tog imod, hvorfor? Sæt gerne flere kryds",8,Ikke relevant,1,1,0,,0,,NA,17.2,17,92
s_15,s_15,Open,String,"17.2 Hvis der var tilbud, som du ikke tog imod, hvorfor? Sæt gerne flere kryds - Andre årsager - skriv venligst",NA,,1,0,0,,0,,NA,17.2,17,93
s_45,s_45,Closed,Single,"17.3 Hvis du modtog fysisk træning, hvor mange uger gik der cirka, fra du blev henvist, til du startede træningen?",NA,,1,0,0,,0,,NA,17.3,17,94
s_47,s_47,Closed,Single,"18. Røg du, da du fik din hjertesygdom?",NA,,1,1,0,,0,,NA,18.,18,95
s_203,s_203,Closed,Single,"18.1 Er du bekendt med, at der er markant større chance for at blive røgfri ved hjælp af rådgivning og rygestopmedicin?",NA,,1,1,0,,0,,NA,18.1,18,96
s_241,s_241,Closed,Single,"18.2 Blev du af personale på sygehus, hos egen læge eller i kommunen anbefalet at få rådgivning om rygestop i kommunen?",NA,,1,1,0,,0,,NA,18.2,18,97
s_49,s_49,Closed,Single,"19. Manglede du hjælp og støtte til at håndtere svære følelser, bekymringer eller følelsesmæssige problemer med din hjertesygdom?",NA,,1,1,1,,0,,NA,19.,19,98
s_205,s_205,Closed,Single,"20. Var du i arbejde, da du fik din hjertesygdom i 2018? Arbejde inkluderer her også deltidsarbejde, fleksjob, barsel m.v.",NA,,1,0,0,,1,,NA,20.,20,99
s_81,s_81_1,Closed,Multiple,20.1 Har din arbejdssituation ændret sig som følge af din hjertesygdom? Sæt gerne flere krydser,2,"Ja, jeg blev fyret",1,1,0,,1,,NA,20.1,20,100
s_81,s_81_2,Closed,Multiple,20.1 Har din arbejdssituation ændret sig som følge af din hjertesygdom? Sæt gerne flere krydser,12,"Ja, jeg har måttet stoppe med at arbejde i en periode",1,1,0,,1,,NA,20.1,20,101
s_81,s_81_3,Closed,Multiple,20.1 Har din arbejdssituation ændret sig som følge af din hjertesygdom? Sæt gerne flere krydser,4,"Ja, jeg er holdt op med at arbejde pga. min hjertesygdom",1,1,0,,1,,NA,20.1,20,102
s_81,s_81_4,Closed,Multiple,20.1 Har din arbejdssituation ændret sig som følge af din hjertesygdom? Sæt gerne flere krydser,5,"Ja, jeg har skiftet arbejde/karrierevej",1,1,0,,1,,NA,20.1,20,103
s_81,s_81_5,Closed,Multiple,20.1 Har din arbejdssituation ændret sig som følge af din hjertesygdom? Sæt gerne flere krydser,13,"Ja, jeg har valgt at gå ned i tid",1,1,0,,1,,NA,20.1,20,104
s_81,s_81_6,Closed,Multiple,20.1 Har din arbejdssituation ændret sig som følge af din hjertesygdom? Sæt gerne flere krydser,14,"Ja, jeg er kommet i fleksjob",1,1,0,,1,,NA,20.1,20,105
s_81,s_81_7,Closed,Multiple,20.1 Har din arbejdssituation ændret sig som følge af din hjertesygdom? Sæt gerne flere krydser,7,"Ja, den fysiske indretning af arbejdspladsen er blevet ændret/jeg har fået hjælpemidler",1,1,0,,1,,NA,20.1,20,106
s_81,s_81_8,Closed,Multiple,20.1 Har din arbejdssituation ændret sig som følge af din hjertesygdom? Sæt gerne flere krydser,8,"Ja, jeg har fået andre arbejdsopgaver end tidligere",1,1,0,,1,,NA,20.1,20,107
s_81,s_81_9,Closed,Multiple,20.1 Har din arbejdssituation ændret sig som følge af din hjertesygdom? Sæt gerne flere krydser,15,"Jeg er holdt op med at arbejde, men ikke pga. min hjertesygdom",1,1,0,,1,,NA,20.1,20,108
s_81,s_81_10,Closed,Multiple,20.1 Har din arbejdssituation ændret sig som følge af din hjertesygdom? Sæt gerne flere krydser,9,"Nej, min arbejdssituation er den samme",1,1,0,,1,,NA,20.1,20,109
s_81,s_81_11,Closed,Multiple,20.1 Har din arbejdssituation ændret sig som følge af din hjertesygdom? Sæt gerne flere krydser,10,Andet ? skriv venligst,1,0,0,,1,,NA,20.1,20,110
s_75,s_75,Open,String,20.1 Har din arbejdssituation ændret sig som følge af din hjertesygdom? Sæt gerne flere krydser - Andet ? skriv venligst,NA,,1,0,0,,1,,NA,20.1,20,111
s_206,s_206,Closed,Single,20.2 Har du været sygemeldt som følge af din hjertesygdom?,NA,,1,0,0,,1,,NA,20.2,20,112
s_242,s_242,Closed,Single,"20.2.1 Da du vendte tilbage i arbejde efter sygemeldingen, følte du dig da klar til det?",NA,,1,0,0,,1,,NA,20.2.1,20,113
s_84,s_84_1,Closed,Multiple,"20.2.2 Hvad var grunden(e) til, at du vendte tilbage til arbejdet på det tidspunkt, du gjorde? Sæt gerne flere kryds",1,"For at komme tilbage til den hverdag jeg havde, før jeg blev syg",1,1,0,,1,,NA,20.2.2,20,114
s_84,s_84_2,Closed,Multiple,"20.2.2 Hvad var grunden(e) til, at du vendte tilbage til arbejdet på det tidspunkt, du gjorde? Sæt gerne flere kryds",2,Jeg følte mig fysisk klar til at vende tilbage til arbejdet,1,1,0,,1,,NA,20.2.2,20,115
s_84,s_84_3,Closed,Multiple,"20.2.2 Hvad var grunden(e) til, at du vendte tilbage til arbejdet på det tidspunkt, du gjorde? Sæt gerne flere kryds",3,Jeg følte mig psykisk klar til at vende tilbage til arbejdet,1,1,0,,1,,NA,20.2.2,20,116
s_84,s_84_4,Closed,Multiple,"20.2.2 Hvad var grunden(e) til, at du vendte tilbage til arbejdet på det tidspunkt, du gjorde? Sæt gerne flere kryds",4,"Jeg havde behov for at føle, at jeg kunne bidrage og være til nytte",1,1,0,,1,,NA,20.2.2,20,117
s_84,s_84_5,Closed,Multiple,"20.2.2 Hvad var grunden(e) til, at du vendte tilbage til arbejdet på det tidspunkt, du gjorde? Sæt gerne flere kryds",5,For at få tankerne væk fra min hjertesygdom,1,1,0,,1,,NA,20.2.2,20,118
s_84,s_84_6,Closed,Multiple,"20.2.2 Hvad var grunden(e) til, at du vendte tilbage til arbejdet på det tidspunkt, du gjorde? Sæt gerne flere kryds",6,Jeg var bange for at miste mit arbejde,1,1,0,,1,,NA,20.2.2,20,119
s_84,s_84_7,Closed,Multiple,"20.2.2 Hvad var grunden(e) til, at du vendte tilbage til arbejdet på det tidspunkt, du gjorde? Sæt gerne flere kryds",7,"Jeg følte, at jeg var nødt til det",1,1,0,,1,,NA,20.2.2,20,120
