Spørgsmål,Svarmuligheder,Operationalisering (cut-points),Group
"3. Hvilke opgaver hjalp du den hjertesyge med i forbindelse med hjertesygdommen? Sæt ét kryds i hver linje - Psykisk støtte (samtaler, samvær, ledsagelse til behandling m.v.)",Slet ikke,2,
"3. Hvilke opgaver hjalp du den hjertesyge med i forbindelse med hjertesygdommen? Sæt ét kryds i hver linje - Psykisk støtte (samtaler, samvær, ledsagelse til behandling m.v.)",Lidt,1,Hjalp med: Psykisk støtte
"3. Hvilke opgaver hjalp du den hjertesyge med i forbindelse med hjertesygdommen? Sæt ét kryds i hver linje - Psykisk støtte (samtaler, samvær, ledsagelse til behandling m.v.)",En del,1,Hjalp med: Psykisk støtte
"3. Hvilke opgaver hjalp du den hjertesyge med i forbindelse med hjertesygdommen? Sæt ét kryds i hver linje - Psykisk støtte (samtaler, samvær, ledsagelse til behandling m.v.)",Meget,1,Hjalp med: Psykisk støtte
"3. Hvilke opgaver hjalp du den hjertesyge med i forbindelse med hjertesygdommen? Sæt ét kryds i hver linje - Psykisk støtte (samtaler, samvær, ledsagelse til behandling m.v.)",Ikke relevant,3,
"3. Hvilke opgaver hjalp du den hjertesyge med i forbindelse med hjertesygdommen? Sæt ét kryds i hver linje - Sunde vaner (sund mad, motion, rygestop eller et lavere indtag af alkohol)",Slet ikke,2,
"3. Hvilke opgaver hjalp du den hjertesyge med i forbindelse med hjertesygdommen? Sæt ét kryds i hver linje - Sunde vaner (sund mad, motion, rygestop eller et lavere indtag af alkohol)",Lidt,1,Hjalp med: Sunde vaner
"3. Hvilke opgaver hjalp du den hjertesyge med i forbindelse med hjertesygdommen? Sæt ét kryds i hver linje - Sunde vaner (sund mad, motion, rygestop eller et lavere indtag af alkohol)",En del,1,Hjalp med: Sunde vaner
"3. Hvilke opgaver hjalp du den hjertesyge med i forbindelse med hjertesygdommen? Sæt ét kryds i hver linje - Sunde vaner (sund mad, motion, rygestop eller et lavere indtag af alkohol)",Meget,1,Hjalp med: Sunde vaner
"3. Hvilke opgaver hjalp du den hjertesyge med i forbindelse med hjertesygdommen? Sæt ét kryds i hver linje - Sunde vaner (sund mad, motion, rygestop eller et lavere indtag af alkohol)",Ikke relevant,3,
"3. Hvilke opgaver hjalp du den hjertesyge med i forbindelse med hjertesygdommen? Sæt ét kryds i hver linje - At deltage i patientsamtaler, undersøgelser eller behandling fx på sygehus, hos egen læge eller i kommunen",Slet ikke,2,
"3. Hvilke opgaver hjalp du den hjertesyge med i forbindelse med hjertesygdommen? Sæt ét kryds i hver linje - At deltage i patientsamtaler, undersøgelser eller behandling fx på sygehus, hos egen læge eller i kommunen",Lidt,1,Hjalp med: Deltagelse i samtaler
"3. Hvilke opgaver hjalp du den hjertesyge med i forbindelse med hjertesygdommen? Sæt ét kryds i hver linje - At deltage i patientsamtaler, undersøgelser eller behandling fx på sygehus, hos egen læge eller i kommunen",En del,1,Hjalp med: Deltagelse i samtaler
"3. Hvilke opgaver hjalp du den hjertesyge med i forbindelse med hjertesygdommen? Sæt ét kryds i hver linje - At deltage i patientsamtaler, undersøgelser eller behandling fx på sygehus, hos egen læge eller i kommunen",Meget,1,Hjalp med: Deltagelse i samtaler
"3. Hvilke opgaver hjalp du den hjertesyge med i forbindelse med hjertesygdommen? Sæt ét kryds i hver linje - At deltage i patientsamtaler, undersøgelser eller behandling fx på sygehus, hos egen læge eller i kommunen",Ikke relevant,3,
3. Hvilke opgaver hjalp du den hjertesyge med i forbindelse med hjertesygdommen? Sæt ét kryds i hver linje - At holde styr på den hjertesyges aftaler og undersøgelser,Slet ikke,2,
3. Hvilke opgaver hjalp du den hjertesyge med i forbindelse med hjertesygdommen? Sæt ét kryds i hver linje - At holde styr på den hjertesyges aftaler og undersøgelser,Lidt,1,Hjalp med: Holde styr på aftaler
3. Hvilke opgaver hjalp du den hjertesyge med i forbindelse med hjertesygdommen? Sæt ét kryds i hver linje - At holde styr på den hjertesyges aftaler og undersøgelser,En del,1,Hjalp med: Holde styr på aftaler
3. Hvilke opgaver hjalp du den hjertesyge med i forbindelse med hjertesygdommen? Sæt ét kryds i hver linje - At holde styr på den hjertesyges aftaler og undersøgelser,Meget,1,Hjalp med: Holde styr på aftaler
3. Hvilke opgaver hjalp du den hjertesyge med i forbindelse med hjertesygdommen? Sæt ét kryds i hver linje - At holde styr på den hjertesyges aftaler og undersøgelser,Ikke relevant,3,
3. Hvilke opgaver hjalp du den hjertesyge med i forbindelse med hjertesygdommen? Sæt ét kryds i hver linje - At holde styr på medicin,Slet ikke,2,
3. Hvilke opgaver hjalp du den hjertesyge med i forbindelse med hjertesygdommen? Sæt ét kryds i hver linje - At holde styr på medicin,Lidt,1,Hjalp med: Holde styr på medicin
3. Hvilke opgaver hjalp du den hjertesyge med i forbindelse med hjertesygdommen? Sæt ét kryds i hver linje - At holde styr på medicin,En del,1,Hjalp med: Holde styr på medicin
3. Hvilke opgaver hjalp du den hjertesyge med i forbindelse med hjertesygdommen? Sæt ét kryds i hver linje - At holde styr på medicin,Meget,1,Hjalp med: Holde styr på medicin
3. Hvilke opgaver hjalp du den hjertesyge med i forbindelse med hjertesygdommen? Sæt ét kryds i hver linje - At holde styr på medicin,Ikke relevant,3,
"3. Hvilke opgaver hjalp du den hjertesyge med i forbindelse med hjertesygdommen? Sæt ét kryds i hver linje - At tilse, overvåge eller være i nærheden af den hjertesyge",Slet ikke,2,
"3. Hvilke opgaver hjalp du den hjertesyge med i forbindelse med hjertesygdommen? Sæt ét kryds i hver linje - At tilse, overvåge eller være i nærheden af den hjertesyge",Lidt,1,Hjalp med: Tilse eller overvåge
"3. Hvilke opgaver hjalp du den hjertesyge med i forbindelse med hjertesygdommen? Sæt ét kryds i hver linje - At tilse, overvåge eller være i nærheden af den hjertesyge",En del,1,Hjalp med: Tilse eller overvåge
"3. Hvilke opgaver hjalp du den hjertesyge med i forbindelse med hjertesygdommen? Sæt ét kryds i hver linje - At tilse, overvåge eller være i nærheden af den hjertesyge",Meget,1,Hjalp med: Tilse eller overvåge
"3. Hvilke opgaver hjalp du den hjertesyge med i forbindelse med hjertesygdommen? Sæt ét kryds i hver linje - At tilse, overvåge eller være i nærheden af den hjertesyge",Ikke relevant,3,
3. Hvilke opgaver hjalp du den hjertesyge med i forbindelse med hjertesygdommen? Sæt ét kryds i hver linje - At holde familie og venner orienteret om sygdommen,Slet ikke,2,
3. Hvilke opgaver hjalp du den hjertesyge med i forbindelse med hjertesygdommen? Sæt ét kryds i hver linje - At holde familie og venner orienteret om sygdommen,Lidt,1,Hjalp med: Orientere familie
3. Hvilke opgaver hjalp du den hjertesyge med i forbindelse med hjertesygdommen? Sæt ét kryds i hver linje - At holde familie og venner orienteret om sygdommen,En del,1,Hjalp med: Orientere familie
3. Hvilke opgaver hjalp du den hjertesyge med i forbindelse med hjertesygdommen? Sæt ét kryds i hver linje - At holde familie og venner orienteret om sygdommen,Meget,1,Hjalp med: Orientere familie
3. Hvilke opgaver hjalp du den hjertesyge med i forbindelse med hjertesygdommen? Sæt ét kryds i hver linje - At holde familie og venner orienteret om sygdommen,Ikke relevant,3,
3.1  I hvor høj grad var opgaverne en fysisk eller psykisk belastning for dig?,I høj grad,1,I nogen grad/i høj grad
3.1  I hvor høj grad var opgaverne en fysisk eller psykisk belastning for dig?,I nogen grad,1,I nogen grad/i høj grad
3.1  I hvor høj grad var opgaverne en fysisk eller psykisk belastning for dig?,I mindre grad,0,
3.1  I hvor høj grad var opgaverne en fysisk eller psykisk belastning for dig?,Slet ikke,0,
3.1  I hvor høj grad var opgaverne en fysisk eller psykisk belastning for dig?,Ved ikke/ikke relevant,2,
"4. Var du og den hjertesyge enige om din rolle i behandlingsforløbet? Fx om du skulle med til samtaler eller hjælpe med medicin, sund livsstil etc.",I høj grad,0,
"4. Var du og den hjertesyge enige om din rolle i behandlingsforløbet? Fx om du skulle med til samtaler eller hjælpe med medicin, sund livsstil etc.",I nogen grad,0,
"4. Var du og den hjertesyge enige om din rolle i behandlingsforløbet? Fx om du skulle med til samtaler eller hjælpe med medicin, sund livsstil etc.",I mindre grad,1,I mindre grad / Slet ikke
"4. Var du og den hjertesyge enige om din rolle i behandlingsforløbet? Fx om du skulle med til samtaler eller hjælpe med medicin, sund livsstil etc.",Slet ikke,1,I mindre grad / Slet ikke
"4. Var du og den hjertesyge enige om din rolle i behandlingsforløbet? Fx om du skulle med til samtaler eller hjælpe med medicin, sund livsstil etc.",Ved ikke,2,
"4. Var du og den hjertesyge enige om din rolle i behandlingsforløbet? Fx om du skulle med til samtaler eller hjælpe med medicin, sund livsstil etc.",Ikke relevant - fx. fordi jeg ingen rolle havde i behandlingsforløbet,,
"4.1 Hvis du og den hjertesyge ikke var enige om din rolle i behandlingsforløbet, i hvilken retning gik uoverensstemmelserne da ?","Den hjertesyge forventede eller ønskede, at jeg påtog mig en større rolle, end jeg selv ønskede",,
"4.1 Hvis du og den hjertesyge ikke var enige om din rolle i behandlingsforløbet, i hvilken retning gik uoverensstemmelserne da ?","Jeg ønskede en større rolle, end den hjertesyge tillod",,
"5. Synes du, at den hjertesyges sygdom... Sæt ét kryds i hver linje - Var psykisk belastende for dig?","Nej, slet ikke",0,
"5. Synes du, at den hjertesyges sygdom... Sæt ét kryds i hver linje - Var psykisk belastende for dig?","Ja, lidt",0,
"5. Synes du, at den hjertesyges sygdom... Sæt ét kryds i hver linje - Var psykisk belastende for dig?","Ja, en del",1,Var psykisk belastende for dig
"5. Synes du, at den hjertesyges sygdom... Sæt ét kryds i hver linje - Var psykisk belastende for dig?","Ja, meget",1,Var psykisk belastende for dig
"5. Synes du, at den hjertesyges sygdom... Sæt ét kryds i hver linje - Var psykisk belastende for dig?",Ved ikke/ikke relevant,2,
"5. Synes du, at den hjertesyges sygdom... Sæt ét kryds i hver linje - Havde negativ betydning for dit eget fysiske helbred?","Nej, slet ikke",0,
"5. Synes du, at den hjertesyges sygdom... Sæt ét kryds i hver linje - Havde negativ betydning for dit eget fysiske helbred?","Ja, lidt",0,
"5. Synes du, at den hjertesyges sygdom... Sæt ét kryds i hver linje - Havde negativ betydning for dit eget fysiske helbred?","Ja, en del",1,Havde negativ betydning for dit eget fysiske helbred
"5. Synes du, at den hjertesyges sygdom... Sæt ét kryds i hver linje - Havde negativ betydning for dit eget fysiske helbred?","Ja, meget",1,Havde negativ betydning for dit eget fysiske helbred
"5. Synes du, at den hjertesyges sygdom... Sæt ét kryds i hver linje - Havde negativ betydning for dit eget fysiske helbred?",Ved ikke/ikke relevant,2,
"5. Synes du, at den hjertesyges sygdom... Sæt ét kryds i hver linje - Gjorde at du ikke havde tid eller overskud til din (øvrige) familie?","Nej, slet ikke",0,
"5. Synes du, at den hjertesyges sygdom... Sæt ét kryds i hver linje - Gjorde at du ikke havde tid eller overskud til din (øvrige) familie?","Ja, lidt",0,
"5. Synes du, at den hjertesyges sygdom... Sæt ét kryds i hver linje - Gjorde at du ikke havde tid eller overskud til din (øvrige) familie?","Ja, en del",1,Gjorde at du ikke havde tid eller overskud til din (øvrige) familie
"5. Synes du, at den hjertesyges sygdom... Sæt ét kryds i hver linje - Gjorde at du ikke havde tid eller overskud til din (øvrige) familie?","Ja, meget",1,Gjorde at du ikke havde tid eller overskud til din (øvrige) familie
"5. Synes du, at den hjertesyges sygdom... Sæt ét kryds i hver linje - Gjorde at du ikke havde tid eller overskud til din (øvrige) familie?",Ved ikke/ikke relevant,2,
"5. Synes du, at den hjertesyges sygdom... Sæt ét kryds i hver linje - Gjorde at du ikke havde tid eller overskud til dine (øvrige) venner/bekendte?","Nej, slet ikke",0,
"5. Synes du, at den hjertesyges sygdom... Sæt ét kryds i hver linje - Gjorde at du ikke havde tid eller overskud til dine (øvrige) venner/bekendte?","Ja, lidt",0,
"5. Synes du, at den hjertesyges sygdom... Sæt ét kryds i hver linje - Gjorde at du ikke havde tid eller overskud til dine (øvrige) venner/bekendte?","Ja, en del",1,Gjorde at du ikke havde tid eller overskud til dine (øvrige) venner/bekendte
"5. Synes du, at den hjertesyges sygdom... Sæt ét kryds i hver linje - Gjorde at du ikke havde tid eller overskud til dine (øvrige) venner/bekendte?","Ja, meget",1,Gjorde at du ikke havde tid eller overskud til dine (øvrige) venner/bekendte
"5. Synes du, at den hjertesyges sygdom... Sæt ét kryds i hver linje - Gjorde at du ikke havde tid eller overskud til dine (øvrige) venner/bekendte?",Ved ikke/ikke relevant,2,
"5. Synes du, at den hjertesyges sygdom... Sæt ét kryds i hver linje - Gjorde at du ikke havde tid eller overskud til dine egne aktiviteter?","Nej, slet ikke",0,
"5. Synes du, at den hjertesyges sygdom... Sæt ét kryds i hver linje - Gjorde at du ikke havde tid eller overskud til dine egne aktiviteter?","Ja, lidt",0,
"5. Synes du, at den hjertesyges sygdom... Sæt ét kryds i hver linje - Gjorde at du ikke havde tid eller overskud til dine egne aktiviteter?","Ja, en del",1,Gjorde at du ikke havde tid eller overskud til dine egne aktiviteter
"5. Synes du, at den hjertesyges sygdom... Sæt ét kryds i hver linje - Gjorde at du ikke havde tid eller overskud til dine egne aktiviteter?","Ja, meget",1,Gjorde at du ikke havde tid eller overskud til dine egne aktiviteter
"5. Synes du, at den hjertesyges sygdom... Sæt ét kryds i hver linje - Gjorde at du ikke havde tid eller overskud til dine egne aktiviteter?",Ved ikke/ikke relevant,2,
"5. Synes du, at den hjertesyges sygdom... Sæt ét kryds i hver linje - Gav dig et tættere forhold til den hjertesyge?","Nej, slet ikke",0,
"5. Synes du, at den hjertesyges sygdom... Sæt ét kryds i hver linje - Gav dig et tættere forhold til den hjertesyge?","Ja, lidt",0,
"5. Synes du, at den hjertesyges sygdom... Sæt ét kryds i hver linje - Gav dig et tættere forhold til den hjertesyge?","Ja, en del",1,Gav dig et tættere forhold til den hjertesyge
"5. Synes du, at den hjertesyges sygdom... Sæt ét kryds i hver linje - Gav dig et tættere forhold til den hjertesyge?","Ja, meget",1,Gav dig et tættere forhold til den hjertesyge
"5. Synes du, at den hjertesyges sygdom... Sæt ét kryds i hver linje - Gav dig et tættere forhold til den hjertesyge?",Ved ikke/ikke relevant,2,
"5. Synes du, at den hjertesyges sygdom... Sæt ét kryds i hver linje - Gav flere konflikter med den hjertesyge?","Nej, slet ikke",0,
"5. Synes du, at den hjertesyges sygdom... Sæt ét kryds i hver linje - Gav flere konflikter med den hjertesyge?","Ja, lidt",0,
"5. Synes du, at den hjertesyges sygdom... Sæt ét kryds i hver linje - Gav flere konflikter med den hjertesyge?","Ja, en del",1,Gav flere konflikter med den hjertesyge
"5. Synes du, at den hjertesyges sygdom... Sæt ét kryds i hver linje - Gav flere konflikter med den hjertesyge?","Ja, meget",1,Gav flere konflikter med den hjertesyge
"5. Synes du, at den hjertesyges sygdom... Sæt ét kryds i hver linje - Gav flere konflikter med den hjertesyge?",Ved ikke/ikke relevant,2,
"5. Synes du, at den hjertesyges sygdom... Sæt ét kryds i hver linje - Gjorde at dine drømme om fremtiden er bristet?","Nej, slet ikke",0,
"5. Synes du, at den hjertesyges sygdom... Sæt ét kryds i hver linje - Gjorde at dine drømme om fremtiden er bristet?","Ja, lidt",0,
"5. Synes du, at den hjertesyges sygdom... Sæt ét kryds i hver linje - Gjorde at dine drømme om fremtiden er bristet?","Ja, en del",1,Gjorde at dine drømme om fremtiden er bristet
"5. Synes du, at den hjertesyges sygdom... Sæt ét kryds i hver linje - Gjorde at dine drømme om fremtiden er bristet?","Ja, meget",1,Gjorde at dine drømme om fremtiden er bristet
"5. Synes du, at den hjertesyges sygdom... Sæt ét kryds i hver linje - Gjorde at dine drømme om fremtiden er bristet?",Ved ikke/ikke relevant,2,
"5. Synes du, at den hjertesyges sygdom... Sæt ét kryds i hver linje - Gav dig øget opmærksomhed på de vigtige ting i livet?","Nej, slet ikke",0,
"5. Synes du, at den hjertesyges sygdom... Sæt ét kryds i hver linje - Gav dig øget opmærksomhed på de vigtige ting i livet?","Ja, lidt",0,
"5. Synes du, at den hjertesyges sygdom... Sæt ét kryds i hver linje - Gav dig øget opmærksomhed på de vigtige ting i livet?","Ja, en del",1,Gav dig øget opmærksomhed på de vigtige ting i livet
"5. Synes du, at den hjertesyges sygdom... Sæt ét kryds i hver linje - Gav dig øget opmærksomhed på de vigtige ting i livet?","Ja, meget",1,Gav dig øget opmærksomhed på de vigtige ting i livet
"5. Synes du, at den hjertesyges sygdom... Sæt ét kryds i hver linje - Gav dig øget opmærksomhed på de vigtige ting i livet?",Ved ikke/ikke relevant,2,
"6. Oplevede du, at folk kunne have svært ved at sætte sig ind i din situation som pårørende og hjertesygdommens konsekvenser?",I høj grad,1,I nogen grad/i høj grad
"6. Oplevede du, at folk kunne have svært ved at sætte sig ind i din situation som pårørende og hjertesygdommens konsekvenser?",I nogen grad,1,I nogen grad/i høj grad
"6. Oplevede du, at folk kunne have svært ved at sætte sig ind i din situation som pårørende og hjertesygdommens konsekvenser?",I mindre grad,0,
"6. Oplevede du, at folk kunne have svært ved at sætte sig ind i din situation som pårørende og hjertesygdommens konsekvenser?",Slet ikke,0,
"6. Oplevede du, at folk kunne have svært ved at sætte sig ind i din situation som pårørende og hjertesygdommens konsekvenser?",Ved ikke,2,
"7. Oplevede du, at folk undlod at spørge til, hvordan du havde det? Her tænkes på, hvordan du havde det i din rolle som pårørende.",I høj grad,1,I nogen grad/i høj grad
"7. Oplevede du, at folk undlod at spørge til, hvordan du havde det? Her tænkes på, hvordan du havde det i din rolle som pårørende.",I nogen grad,1,I nogen grad/i høj grad
"7. Oplevede du, at folk undlod at spørge til, hvordan du havde det? Her tænkes på, hvordan du havde det i din rolle som pårørende.",I mindre grad,0,
"7. Oplevede du, at folk undlod at spørge til, hvordan du havde det? Her tænkes på, hvordan du havde det i din rolle som pårørende.",Slet ikke,0,
"7. Oplevede du, at folk undlod at spørge til, hvordan du havde det? Her tænkes på, hvordan du havde det i din rolle som pårørende.",Ved ikke,2,
"8. Fik du tilstrækkelig hjælp fra familie, venner eller andre i din omgangskreds? Her tænkes både på praktisk hjælp og psykisk støtte ift. hjertesygdommen.",I høj grad,0,
"8. Fik du tilstrækkelig hjælp fra familie, venner eller andre i din omgangskreds? Her tænkes både på praktisk hjælp og psykisk støtte ift. hjertesygdommen.",I nogen grad,0,
"8. Fik du tilstrækkelig hjælp fra familie, venner eller andre i din omgangskreds? Her tænkes både på praktisk hjælp og psykisk støtte ift. hjertesygdommen.",I mindre grad,1,I mindre grad / Slet ikke
"8. Fik du tilstrækkelig hjælp fra familie, venner eller andre i din omgangskreds? Her tænkes både på praktisk hjælp og psykisk støtte ift. hjertesygdommen.",Slet ikke,1,I mindre grad / Slet ikke
"8. Fik du tilstrækkelig hjælp fra familie, venner eller andre i din omgangskreds? Her tænkes både på praktisk hjælp og psykisk støtte ift. hjertesygdommen.",Ved ikke,2,
"8. Fik du tilstrækkelig hjælp fra familie, venner eller andre i din omgangskreds? Her tænkes både på praktisk hjælp og psykisk støtte ift. hjertesygdommen.",Ikke relevant - jeg havde ikke behov for hjælp og støtte,,
"9. Fik du alt i alt den information fra sundhedspersonale om hjertesygdommen, som du havde brug for?",I høj grad,0,
"9. Fik du alt i alt den information fra sundhedspersonale om hjertesygdommen, som du havde brug for?",I nogen grad,0,
"9. Fik du alt i alt den information fra sundhedspersonale om hjertesygdommen, som du havde brug for?",I mindre grad,1,I mindre grad / Slet ikke
"9. Fik du alt i alt den information fra sundhedspersonale om hjertesygdommen, som du havde brug for?",Slet ikke,1,I mindre grad / Slet ikke
"9. Fik du alt i alt den information fra sundhedspersonale om hjertesygdommen, som du havde brug for?",Ved ikke,2,
"9. Fik du alt i alt den information fra sundhedspersonale om hjertesygdommen, som du havde brug for?","Ikke relevant - jeg var ikke med på sygehuset, hos egen læge eller i kommunen",,
"10. Synes du, at du samlet set fik den hjælp i sundhedsvæsenet, som du havde behov for... Sæt ét kryds i hver linje - Til at støtte den hjertesyge, så han/hun kan leve bedst muligt med hjertesygdommen",I høj grad,0,
"10. Synes du, at du samlet set fik den hjælp i sundhedsvæsenet, som du havde behov for... Sæt ét kryds i hver linje - Til at støtte den hjertesyge, så han/hun kan leve bedst muligt med hjertesygdommen",I nogen grad,0,
"10. Synes du, at du samlet set fik den hjælp i sundhedsvæsenet, som du havde behov for... Sæt ét kryds i hver linje - Til at støtte den hjertesyge, så han/hun kan leve bedst muligt med hjertesygdommen",I mindre grad,1,I mindre grad / Slet ikke
"10. Synes du, at du samlet set fik den hjælp i sundhedsvæsenet, som du havde behov for... Sæt ét kryds i hver linje - Til at støtte den hjertesyge, så han/hun kan leve bedst muligt med hjertesygdommen",Slet ikke,1,I mindre grad / Slet ikke
"10. Synes du, at du samlet set fik den hjælp i sundhedsvæsenet, som du havde behov for... Sæt ét kryds i hver linje - Til at støtte den hjertesyge, så han/hun kan leve bedst muligt med hjertesygdommen",Ved ikke,2,
"10. Synes du, at du samlet set fik den hjælp i sundhedsvæsenet, som du havde behov for... Sæt ét kryds i hver linje - Til at støtte den hjertesyge, så han/hun kan leve bedst muligt med hjertesygdommen",Ikke relevant - jeg havde ikke behov for hjælp,,
"10. Synes du, at du samlet set fik den hjælp i sundhedsvæsenet, som du havde behov for... Sæt ét kryds i hver linje - Til selv at leve bedst muligt som pårørende til en hjertesyg",I høj grad,0,
"10. Synes du, at du samlet set fik den hjælp i sundhedsvæsenet, som du havde behov for... Sæt ét kryds i hver linje - Til selv at leve bedst muligt som pårørende til en hjertesyg",I nogen grad,0,
"10. Synes du, at du samlet set fik den hjælp i sundhedsvæsenet, som du havde behov for... Sæt ét kryds i hver linje - Til selv at leve bedst muligt som pårørende til en hjertesyg",I mindre grad,1,I mindre grad / Slet ikke
"10. Synes du, at du samlet set fik den hjælp i sundhedsvæsenet, som du havde behov for... Sæt ét kryds i hver linje - Til selv at leve bedst muligt som pårørende til en hjertesyg",Slet ikke,1,I mindre grad / Slet ikke
"10. Synes du, at du samlet set fik den hjælp i sundhedsvæsenet, som du havde behov for... Sæt ét kryds i hver linje - Til selv at leve bedst muligt som pårørende til en hjertesyg",Ved ikke,2,
"10. Synes du, at du samlet set fik den hjælp i sundhedsvæsenet, som du havde behov for... Sæt ét kryds i hver linje - Til selv at leve bedst muligt som pårørende til en hjertesyg",Ikke relevant - jeg havde ikke behov for hjælp,,
"11. Oplevede du, at sundhedspersonalet på sygehuset var interesseret i din erfaring og viden om den hjertesyge?",I høj grad,0,
"11. Oplevede du, at sundhedspersonalet på sygehuset var interesseret i din erfaring og viden om den hjertesyge?",I nogen grad,0,
"11. Oplevede du, at sundhedspersonalet på sygehuset var interesseret i din erfaring og viden om den hjertesyge?",I mindre grad,1,I mindre grad / Slet ikke
"11. Oplevede du, at sundhedspersonalet på sygehuset var interesseret i din erfaring og viden om den hjertesyge?",Slet ikke,1,I mindre grad / Slet ikke
"11. Oplevede du, at sundhedspersonalet på sygehuset var interesseret i din erfaring og viden om den hjertesyge?",Ved ikke,2,
"11. Oplevede du, at sundhedspersonalet på sygehuset var interesseret i din erfaring og viden om den hjertesyge?",Ikke relevant - jeg var ikke med på sygehuset ,,
"12. Tog sundhedspersonalet hensyn til dine muligheder for at deltage ved stuegang, undersøgelser eller samtaler med sundhedspersonalet vedrørende den hjertesyges sygdom?  Fx ved at lægge aftaler på tidspunkter, hvor du også havde mulighed for at komme med?",I høj grad,0,
"12. Tog sundhedspersonalet hensyn til dine muligheder for at deltage ved stuegang, undersøgelser eller samtaler med sundhedspersonalet vedrørende den hjertesyges sygdom?  Fx ved at lægge aftaler på tidspunkter, hvor du også havde mulighed for at komme med?",I nogen grad,0,
"12. Tog sundhedspersonalet hensyn til dine muligheder for at deltage ved stuegang, undersøgelser eller samtaler med sundhedspersonalet vedrørende den hjertesyges sygdom?  Fx ved at lægge aftaler på tidspunkter, hvor du også havde mulighed for at komme med?",I mindre grad,1,I mindre grad / Slet ikke
"12. Tog sundhedspersonalet hensyn til dine muligheder for at deltage ved stuegang, undersøgelser eller samtaler med sundhedspersonalet vedrørende den hjertesyges sygdom?  Fx ved at lægge aftaler på tidspunkter, hvor du også havde mulighed for at komme med?",Slet ikke,1,I mindre grad / Slet ikke
"12. Tog sundhedspersonalet hensyn til dine muligheder for at deltage ved stuegang, undersøgelser eller samtaler med sundhedspersonalet vedrørende den hjertesyges sygdom?  Fx ved at lægge aftaler på tidspunkter, hvor du også havde mulighed for at komme med?",Ved ikke,2,
"12. Tog sundhedspersonalet hensyn til dine muligheder for at deltage ved stuegang, undersøgelser eller samtaler med sundhedspersonalet vedrørende den hjertesyges sygdom?  Fx ved at lægge aftaler på tidspunkter, hvor du også havde mulighed for at komme med?",Ikke relevant - jeg var ikke med på sygehuset,,
"13. Brugte sundhedspersonalet på sygehusene et sprog, som var til at forstå (ikke fagsprog, men forståeligt dansk)?",I meget høj grad,0,
"13. Brugte sundhedspersonalet på sygehusene et sprog, som var til at forstå (ikke fagsprog, men forståeligt dansk)?",I høj grad,0,
"13. Brugte sundhedspersonalet på sygehusene et sprog, som var til at forstå (ikke fagsprog, men forståeligt dansk)?",I nogen grad,0,
"13. Brugte sundhedspersonalet på sygehusene et sprog, som var til at forstå (ikke fagsprog, men forståeligt dansk)?",I mindre grad,1,I mindre grad / Slet ikke
