"questionName" "variableName" "questionType" "subType" "questionText" "choiceValue" "choiceText" "include_database" "include_report" "stratified" "short_name" "Sidsel" "question_group" "converted_binary" "question_name_short" "question_number" "question_integer" "sort_order" "person_type"
"s_52" "s_233" "Closed" "Single" "14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? (fortsat) Sæt ét kryds i hver linje - Hvad sygdommen kan betyde for dit sex- og samliv" NA "" "1" "1" "0" "Hvad sygdommen kan betyde for dit sex- og samliv" "0" "s_52" "1" "Utilstrækkelig information om…" "14." "14" 54 "pat"
"s_52" "s_234" "Closed" "Single" "14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? (fortsat) Sæt ét kryds i hver linje - Hvad du selv kan gøre for at få det bedre f.eks. ved fysisk træning eller kost" NA "" "1" "1" "0" "Hvad du selv kan gøre for at få det bedre" "0" "s_52" "1" "Utilstrækkelig information om…" "14." "14" 55 "pat"
"s_52" "s_235" "Closed" "Single" "14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? (fortsat) Sæt ét kryds i hver linje - Hvor du skal henvende dig i tilfælde af forværring af din sygdom" NA "" "1" "1" "0" "Hvor du skal henvende dig i tilfælde af forværring af din sygdom" "0" "s_52" "1" "Utilstrækkelig information om…" "14." "14" 56 "pat"
"s_52" "s_236" "Closed" "Single" "14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? (fortsat) Sæt ét kryds i hver linje - Hvad du kan holde til rent fysisk" NA "" "1" "1" "0" "Hvad du kan holde til rent fysisk" "0" "s_52" "1" "Utilstrækkelig information om…" "14." "14" 57 "pat"
"s_52" "s_237" "Closed" "Single" "14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? (fortsat) Sæt ét kryds i hver linje - Mulige årsager til din hjertesygdom" NA "" "1" "1" "0" "Mulige årsager til din hjertesygdom" "0" "s_52" "1" "Utilstrækkelig information om…" "14." "14" 58 "pat"
"s_187" "s_187" "Closed" "Single" "15. Havde du pårørende, som du kunne regne med ville hjælpe dig, hvis du havde behov for det? Det kan f.eks. være til følelsesmæssig støtte, praktisk hjælp eller til at holde styr på aftaler på sygehuset. " NA "" "1" "0" "0" "" "0" "" NA "Ingen pårørende" "15." "15" 59 "pat"
"s_238" "s_238" "Closed" "Single" "15.1 Gjorde personalet dig opmærksom på muligheden for at have din(e) pårørende med til samtaler?" NA "" "1" "1" "1" "" "0" "" NA "Ingen opmærksomhed på pårørendedeltagelse" "15.1" "15" 60 "pat"
"s_239" "s_239" "Closed" "Single" "15.2 Havde du pårørende med til samtaler eller behandling på sygehuset?" NA "" "1" "0" "0" "" "0" "" NA "Ingen pårørende med til samtaler" "15.2" "15" 61 "pat"
"s_66" "s_66" "Closed" "Single" "15.2.1 Inddrog personalet din(e) pårørende, som du ønskede det? Her skelnes ikke mellem, om det var for lidt, for meget eller måden, de blev inddraget på." NA "" "1" "1" "1" "" "0" "" NA "Pårørende ikke inddraget som ønsket" "15.2.1" "15" 62 "pat"
"s_68" "s_68" "Closed" "Single" "16. Følte du dig tryg ved den medicinske behandling, du fik for din hjertesygdom?" NA "" "1" "0" "0" "" "0" "" NA "Utryg ved medicin" "16." "16" 63 "pat"
"s_168" "s_168" "Closed" "Single" "16.1 Blev du informeret om følgende, da du første gang fik medicinen ordineret? - Hvorfor du fik/får medicin for din hjertesygdom" NA "" "1" "1" "0" "Hvorfor du fik/får medicin" "0" "s_168" "1" "Utilstrækkelig information om medicin" "16.1" "16" 64 "pat"
"s_168" "s_169" "Closed" "Single" "16.1 Blev du informeret om følgende, da du første gang fik medicinen ordineret? - Mulige bivirkninger af medicin for din hjertesygdom" NA "" "1" "1" "0" "Mulige bivirkninger af medicin" "0" "s_168" "1" "Utilstrækkelig information om medicin" "16.1" "16" 65 "pat"
"s_168" "s_170" "Closed" "Single" "16.1 Blev du informeret om følgende, da du første gang fik medicinen ordineret? - Hvor lang tid du skal/skulle tage medicin for din hjertesygdom" NA "" "1" "1" "0" "Hvor lang tid du skal/skulle tage medicin" "0" "s_168" "1" "Utilstrækkelig information om medicin" "16.1" "16" 66 "pat"
"s_70" "s_70" "Closed" "Single" "16.2 Oplevede du bivirkninger af den medicin, du fik for din hjertesygdom?" NA "" "1" "0" "0" "" "0" "" NA "Bivirkninger ved medicin" "16.2" "16" 67 "pat"
"s_72" "s_72" "Closed" "Single" "16.2.1 Blev du taget alvorligt, da du henvendte dig til en læge på grund af bivirkninger?" NA "" "1" "0" "0" "" "0" "" NA "Medicinbivirkninger ikke taget alvorligt" "16.2.1" "16" 68 "pat"
"s_28" "s_28" "Closed" "Single" "17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Fysisk træning" NA "" "1" "1" "0" "Fysisk træning" "1" "s_28" "1" "Ikke tilbudt rehabilitering" "17." "17" 69 "pat"
"s_28" "s_29" "Closed" "Single" "17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Rådgivning om kost" NA "" "1" "1" "0" "Rådgivning om kost" "1" "s_28" "1" "Ikke tilbudt rehabilitering" "17." "17" 70 "pat"
"s_28" "s_30" "Closed" "Single" "17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Psykisk støtte (f.eks. terapeutforløb, mindfulness, henvisning til psykolog m.m.)" NA "" "1" "1" "0" "Psykisk støtte" "1" "s_28" "1" "Ikke tilbudt rehabilitering" "17." "17" 71 "pat"
"s_28" "s_32" "Closed" "Single" "17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Undervisning i din sygdom og dens behandling" NA "" "1" "1" "0" "Undervisning i din sygdom" "1" "s_28" "1" "Ikke tilbudt rehabilitering" "17." "17" 72 "pat"
"s_28" "s_33" "Closed" "Single" "17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Rådgivning om sex og samliv" NA "" "1" "1" "0" "Rådgivning om sex og samliv" "1" "s_28" "1" "Ikke tilbudt rehabilitering" "17." "17" 73 "pat"
"s_28" "s_34" "Closed" "Single" "17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Individuel samtale om medicin" NA "" "1" "1" "0" "Individuel samtale om medicin" "1" "s_28" "1" "Ikke tilbudt rehabilitering" "17." "17" 74 "pat"
"s_28" "s_35" "Closed" "Single" "17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Rådgivning om arbejdsmarkedstilknytning, beskæftigelse m.m." NA "" "1" "1" "0" "Rådgivning om arbejdsmarkedstilknytning" "1" "s_28" "1" "Ikke tilbudt rehabilitering" "17." "17" 75 "pat"
"s_28" "s_194" "Closed" "Single" "17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Undervisning i de psykiske reaktioner på sygdommen" NA "" "1" "1" "0" "Undervisning i de psykiske reaktioner på sygdommen" "1" "s_28" "1" "Ikke tilbudt rehabilitering" "17." "17" 76 "pat"
"s_219" "s_219" "Closed" "Single" "17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Fysisk træning?" NA "" "1" "1" "0" "Fysisk træning" "0" "s_219" "1" "Dårlig kvalitet af tilbud" "17.1" "17" 77 "pat"
"s_219" "s_220" "Closed" "Single" "17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Rådgivning om kost?" NA "" "1" "1" "0" "Rådgivning om kost" "0" "s_219" "1" "Dårlig kvalitet af tilbud" "17.1" "17" 78 "pat"
"s_219" "s_221" "Closed" "Single" "17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Psykisk støtte (f.eks. terapeutforløb, mindfulness, henvisning til psykolog m.m.)?" NA "" "1" "1" "0" "Psykisk støtte" "0" "s_219" "1" "Dårlig kvalitet af tilbud" "17.1" "17" 79 "pat"
"s_219" "s_222" "Closed" "Single" "17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Undervisning i din sygdom og dens behandling?" NA "" "1" "1" "0" "Undervisning i din sygdom" "0" "s_219" "1" "Dårlig kvalitet af tilbud" "17.1" "17" 80 "pat"
"s_219" "s_223" "Closed" "Single" "17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Rådgivning om sex og samliv?" NA "" "1" "1" "0" "Rådgivning om sex og samliv" "0" "s_219" "1" "Dårlig kvalitet af tilbud" "17.1" "17" 81 "pat"
"s_219" "s_224" "Closed" "Single" "17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Individuel samtale om medicin?" NA "" "1" "1" "0" "Individuel samtale om medicin" "0" "s_219" "1" "Dårlig kvalitet af tilbud" "17.1" "17" 82 "pat"
"s_219" "s_225" "Closed" "Single" "17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Rådgivning om arbejdsmarkedstilknytning, beskæftigelse m.m.?" NA "" "1" "1" "0" "Rådgivning om arbejdsmarkedstilknytning" "1" "s_219" "1" "Dårlig kvalitet af tilbud" "17.1" "17" 83 "pat"
"s_219" "s_226" "Closed" "Single" "17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Undervisning i de psykiske reaktioner på sygdommen?" NA "" "1" "1" "0" "Undervisning i de psykiske reaktioner på sygdommen" "0" "s_219" "1" "Dårlig kvalitet af tilbud" "17.1" "17" 84 "pat"
"s_172" "s_172_1" "Closed" "Multiple" "17.2 Hvis der var tilbud, som du ikke tog imod, hvorfor? Sæt gerne flere kryds" "1" "Jeg havde ikke behov for det" "1" "1" "0" "" "0" "" NA "Årsag til fravalg" "17.2" "17" 85 "pat"
"s_172" "s_172_2" "Closed" "Multiple" "17.2 Hvis der var tilbud, som du ikke tog imod, hvorfor? Sæt gerne flere kryds" "2" "Jeg havde ikke lyst" "1" "1" "0" "" "0" "" NA "Årsag til fravalg" "17.2" "17" 86 "pat"
"s_172" "s_172_3" "Closed" "Multiple" "17.2 Hvis der var tilbud, som du ikke tog imod, hvorfor? Sæt gerne flere kryds" "3" "Jeg ville hellere selv finde en måde at komme mig på" "1" "1" "0" "" "0" "" NA "Årsag til fravalg" "17.2" "17" 87 "pat"
"s_172" "s_172_4" "Closed" "Multiple" "17.2 Hvis der var tilbud, som du ikke tog imod, hvorfor? Sæt gerne flere kryds" "4" "Tidspunktet på dagen passede mig ikke" "1" "1" "0" "" "0" "" NA "Årsag til fravalg" "17.2" "17" 88 "pat"
"s_172" "s_172_5" "Closed" "Multiple" "17.2 Hvis der var tilbud, som du ikke tog imod, hvorfor? Sæt gerne flere kryds" "5" "På grund af transport og/eller økonomi" "1" "1" "0" "" "0" "" NA "Årsag til fravalg" "17.2" "17" 89 "pat"
"s_172" "s_172_6" "Closed" "Multiple" "17.2 Hvis der var tilbud, som du ikke tog imod, hvorfor? Sæt gerne flere kryds" "6" "På grund af barrierer i forhold til sprog, religion/kultur o.l." "1" "1" "0" "" "0" "" NA "Årsag til fravalg" "17.2" "17" 90 "pat"
"s_172" "s_172_7" "Closed" "Multiple" "17.2 Hvis der var tilbud, som du ikke tog imod, hvorfor? Sæt gerne flere kryds" "7" "Andre årsager - skriv venligst" "1" "1" "0" "" "0" "" NA "Årsag til fravalg" "17.2" "17" 91 "pat"
"s_172" "s_172_8" "Closed" "Multiple" "17.2 Hvis der var tilbud, som du ikke tog imod, hvorfor? Sæt gerne flere kryds" "8" "Ikke relevant" "1" "1" "0" "" "0" "" NA "Årsag til fravalg" "17.2" "17" 92 "pat"
"s_15" "s_15" "Open" "String" "17.2 Hvis der var tilbud, som du ikke tog imod, hvorfor? Sæt gerne flere kryds - Andre årsager - skriv venligst" NA "" "1" "0" "0" "" "0" "" NA "Årsag til fravalg" "17.2" "17" 93 "pat"
