"strat_level" "count" "percent" "strat" "item" "response" "mean" "patient_data" "Kon" "Alder"
"Grundskole" 165 6.3 "Uddannelsesniveau" "hads_depression" "HADS depression >=11" NA TRUE NA NA
"Grundskole" 763 28.9 "Uddannelsesniveau" "who5" "WHO-1 <50" NA TRUE NA NA
"Grundskole" NA NA "Uddannelsesniveau" "hq_score_physical" NA 1.9 TRUE NA NA
"Grundskole" NA NA "Uddannelsesniveau" "hq_score_emotional" NA 2.3 TRUE NA NA
"Gymnasial / erhvervsfaglig udd." 1157 29 "Uddannelsesniveau" "s_7" "Nej, på ingen afdelinger" NA TRUE NA NA
"Gymnasial / erhvervsfaglig udd." 558 14 "Uddannelsesniveau" "s_9" "I mindre grad/slet ikke" NA TRUE NA NA
"Gymnasial / erhvervsfaglig udd." 723 18.3 "Uddannelsesniveau" "s_227" "I mindre grad/slet ikke" NA TRUE NA NA
"Gymnasial / erhvervsfaglig udd." 667 16.9 "Uddannelsesniveau" "s_162" "I mindre grad/slet ikke" NA TRUE NA NA
"Gymnasial / erhvervsfaglig udd." 522 16 "Uddannelsesniveau" "s_229" "I mindre grad/slet ikke" NA TRUE NA NA
"Gymnasial / erhvervsfaglig udd." 864 22.8 "Uddannelsesniveau" "s_238" "I mindre grad/slet ikke" NA TRUE NA NA
"Gymnasial / erhvervsfaglig udd." 277 10.6 "Uddannelsesniveau" "s_66" "I mindre grad/slet ikke" NA TRUE NA NA
"Gymnasial / erhvervsfaglig udd." 774 20.3 "Uddannelsesniveau" "s_49" "I nogen grad/i høj grad" NA TRUE NA NA
"Gymnasial / erhvervsfaglig udd." 286 35.6 "Uddannelsesniveau" "s_89" "I mindre grad/slet ikke" NA TRUE NA NA
"Gymnasial / erhvervsfaglig udd." 853 22.6 "Uddannelsesniveau" "s_130" "Dårligt / Mindre godt" NA TRUE NA NA
"Gymnasial / erhvervsfaglig udd." 683 18.1 "Uddannelsesniveau" "s_266" "I mindre grad/slet ikke" NA TRUE NA NA
"Gymnasial / erhvervsfaglig udd." 668 17.7 "Uddannelsesniveau" "s_267" "Ja" NA TRUE NA NA
"Gymnasial / erhvervsfaglig udd." 173 4.6 "Uddannelsesniveau" "t_ils_hi_score" "T-ILS score >=7" NA TRUE NA NA
"Gymnasial / erhvervsfaglig udd." 209 5.6 "Uddannelsesniveau" "hads_anxiety" "HADS anxiety >=11" NA TRUE NA NA
"Gymnasial / erhvervsfaglig udd." 178 4.8 "Uddannelsesniveau" "hads_depression" "HADS depression >=11" NA TRUE NA NA
"Gymnasial / erhvervsfaglig udd." 978 25.9 "Uddannelsesniveau" "who5" "WHO-1 <50" NA TRUE NA NA
"Gymnasial / erhvervsfaglig udd." NA NA "Uddannelsesniveau" "hq_score_physical" NA 2.2 TRUE NA NA
"Gymnasial / erhvervsfaglig udd." NA NA "Uddannelsesniveau" "hq_score_emotional" NA 2.4 TRUE NA NA
"Hjerteklapsygdom" 548 28.5 "Sygdom" "s_7" "Nej, på ingen afdelinger" NA TRUE NA NA
"Hjerteklapsygdom" 246 12.8 "Sygdom" "s_9" "I mindre grad/slet ikke" NA TRUE NA NA
"Hjerteklapsygdom" 302 15.9 "Sygdom" "s_227" "I mindre grad/slet ikke" NA TRUE NA NA
"Hjerteklapsygdom" 333 17.6 "Sygdom" "s_162" "I mindre grad/slet ikke" NA TRUE NA NA
"Hjerteklapsygdom" 192 12.6 "Sygdom" "s_229" "I mindre grad/slet ikke" NA TRUE NA NA
"Hjerteklapsygdom" 268 14.8 "Sygdom" "s_238" "I mindre grad/slet ikke" NA TRUE NA NA
"Hjerteklapsygdom" 101 7.1 "Sygdom" "s_66" "I mindre grad/slet ikke" NA TRUE NA NA
"Hjerteklapsygdom" 271 14.8 "Sygdom" "s_49" "I nogen grad/i høj grad" NA TRUE NA NA
"Hjerteklapsygdom" 87 29.3 "Sygdom" "s_89" "I mindre grad/slet ikke" NA TRUE NA NA
"Hjerteklapsygdom" 393 21.8 "Sygdom" "s_130" "Dårligt / Mindre godt" NA TRUE NA NA
"Hjerteklapsygdom" 259 14.3 "Sygdom" "s_266" "I mindre grad/slet ikke" NA TRUE NA NA
"Hjerteklapsygdom" 341 18.8 "Sygdom" "s_267" "Ja" NA TRUE NA NA
"Hjerteklapsygdom" 85 4.7 "Sygdom" "t_ils_hi_score" "T-ILS score >=7" NA TRUE NA NA
"Hjerteklapsygdom" 65 3.7 "Sygdom" "hads_anxiety" "HADS anxiety >=11" NA TRUE NA NA
"Hjerteklapsygdom" 74 4.2 "Sygdom" "hads_depression" "HADS depression >=11" NA TRUE NA NA
"Hjerteklapsygdom" 428 24 "Sygdom" "who5" "WHO-1 <50" NA TRUE NA NA
"Hjerteklapsygdom" NA NA "Sygdom" "hq_score_physical" NA 2 TRUE NA NA
"Hjerteklapsygdom" NA NA "Sygdom" "hq_score_emotional" NA 2.4 TRUE NA NA
"Hjertesvigt" 361 24.6 "Sygdom" "s_7" "Nej, på ingen afdelinger" NA TRUE NA NA
"Hjertesvigt" 254 17.1 "Sygdom" "s_9" "I mindre grad/slet ikke" NA TRUE NA NA
"Hjertesvigt" 282 19.3 "Sygdom" "s_227" "I mindre grad/slet ikke" NA TRUE NA NA
"Hjertesvigt" 243 16.6 "Sygdom" "s_162" "I mindre grad/slet ikke" NA TRUE NA NA
"Hjertesvigt" 242 19.7 "Sygdom" "s_229" "I mindre grad/slet ikke" NA TRUE NA NA
"Hjertesvigt" 245 17.4 "Sygdom" "s_238" "I mindre grad/slet ikke" NA TRUE NA NA
"Hjertesvigt" 109 10.3 "Sygdom" "s_66" "I mindre grad/slet ikke" NA TRUE NA NA
"Hjertesvigt" 386 27.4 "Sygdom" "s_49" "I nogen grad/i høj grad" NA TRUE NA NA
"Hjertesvigt" 75 27.1 "Sygdom" "s_89" "I mindre grad/slet ikke" NA TRUE NA NA
"Hjertesvigt" 519 37.2 "Sygdom" "s_130" "Dårligt / Mindre godt" NA TRUE NA NA
"Hjertesvigt" 236 16.9 "Sygdom" "s_266" "I mindre grad/slet ikke" NA TRUE NA NA
"Hjertesvigt" 308 22.1 "Sygdom" "s_267" "Ja" NA TRUE NA NA
"Hjertesvigt" 107 7.7 "Sygdom" "t_ils_hi_score" "T-ILS score >=7" NA TRUE NA NA
"Hjertesvigt" 139 10.1 "Sygdom" "hads_anxiety" "HADS anxiety >=11" NA TRUE NA NA
"Hjertesvigt" 112 8.1 "Sygdom" "hads_depression" "HADS depression >=11" NA TRUE NA NA
"Hjertesvigt" 494 35.6 "Sygdom" "who5" "WHO-1 <50" NA TRUE NA NA
"Hjertesvigt" NA NA "Sygdom" "hq_score_physical" NA 1.8 TRUE NA NA
"Hjertesvigt" NA NA "Sygdom" "hq_score_emotional" NA 2.1 TRUE NA NA
"Hovedstaden" 1007 35.9 "Region" "s_7" "Nej, på ingen afdelinger" NA TRUE NA NA
"Hovedstaden" 435 15.5 "Region" "s_9" "I mindre grad/slet ikke" NA TRUE NA NA
"Hovedstaden" 639 23 "Region" "s_227" "I mindre grad/slet ikke" NA TRUE NA NA
"Hovedstaden" 513 18.7 "Region" "s_162" "I mindre grad/slet ikke" NA TRUE NA NA
"Hovedstaden" 323 14.5 "Region" "s_229" "I mindre grad/slet ikke" NA TRUE NA NA
"Hovedstaden" 710 27.1 "Region" "s_238" "I mindre grad/slet ikke" NA TRUE NA NA
"Hovedstaden" 190 11.5 "Region" "s_66" "I mindre grad/slet ikke" NA TRUE NA NA
"Hovedstaden" 500 19 "Region" "s_49" "I nogen grad/i høj grad" NA TRUE NA NA
"Hovedstaden" 151 32.5 "Region" "s_89" "I mindre grad/slet ikke" NA TRUE NA NA
"Hovedstaden" 610 23.5 "Region" "s_130" "Dårligt / Mindre godt" NA TRUE NA NA
"Hovedstaden" 382 14.6 "Region" "s_266" "I mindre grad/slet ikke" NA TRUE NA NA
"Hovedstaden" 474 18.1 "Region" "s_267" "Ja" NA TRUE NA NA
"Hovedstaden" 125 4.8 "Region" "t_ils_hi_score" "T-ILS score >=7" NA TRUE NA NA
"Hovedstaden" 153 6 "Region" "hads_anxiety" "HADS anxiety >=11" NA TRUE NA NA
"Hovedstaden" 127 4.9 "Region" "hads_depression" "HADS depression >=11" NA TRUE NA NA
"Hovedstaden" 704 27.2 "Region" "who5" "WHO-1 <50" NA TRUE NA NA
"Hovedstaden" NA NA "Region" "hq_score_physical" NA 2.2 TRUE NA NA
"Hovedstaden" NA NA "Region" "hq_score_emotional" NA 2.4 TRUE NA NA
"Iskæmisk hjertesygdom" 894 28.7 "Sygdom" "s_7" "Nej, på ingen afdelinger" NA TRUE NA NA
"Iskæmisk hjertesygdom" 484 15.5 "Sygdom" "s_9" "I mindre grad/slet ikke" NA TRUE NA NA
"Iskæmisk hjertesygdom" 537 17.3 "Sygdom" "s_227" "I mindre grad/slet ikke" NA TRUE NA NA
"Iskæmisk hjertesygdom" 581 18.9 "Sygdom" "s_162" "I mindre grad/slet ikke" NA TRUE NA NA
"Iskæmisk hjertesygdom" 436 16.9 "Sygdom" "s_229" "I mindre grad/slet ikke" NA TRUE NA NA
"Iskæmisk hjertesygdom" 681 22.9 "Sygdom" "s_238" "I mindre grad/slet ikke" NA TRUE NA NA
"Iskæmisk hjertesygdom" 219 10.9 "Sygdom" "s_66" "I mindre grad/slet ikke" NA TRUE NA NA
"Iskæmisk hjertesygdom" 667 22.5 "Sygdom" "s_49" "I nogen grad/i høj grad" NA TRUE NA NA
"Iskæmisk hjertesygdom" 189 30.7 "Sygdom" "s_89" "I mindre grad/slet ikke" NA TRUE NA NA
"Iskæmisk hjertesygdom" 685 23.3 "Sygdom" "s_130" "Dårligt / Mindre godt" NA TRUE NA NA
"Iskæmisk hjertesygdom" 520 17.7 "Sygdom" "s_266" "I mindre grad/slet ikke" NA TRUE NA NA
"Iskæmisk hjertesygdom" 480 16.3 "Sygdom" "s_267" "Ja" NA TRUE NA NA
"Iskæmisk hjertesygdom" 188 6.4 "Sygdom" "t_ils_hi_score" "T-ILS score >=7" NA TRUE NA NA
"Iskæmisk hjertesygdom" 204 7 "Sygdom" "hads_anxiety" "HADS anxiety >=11" NA TRUE NA NA
"Iskæmisk hjertesygdom" 175 6 "Sygdom" "hads_depression" "HADS depression >=11" NA TRUE NA NA
"Iskæmisk hjertesygdom" 769 26.2 "Sygdom" "who5" "WHO-1 <50" NA TRUE NA NA
"Iskæmisk hjertesygdom" NA NA "Sygdom" "hq_score_physical" NA 2.2 TRUE NA NA
"Iskæmisk hjertesygdom" NA NA "Sygdom" "hq_score_emotional" NA 2.4 TRUE NA NA
"Kort / mellemlang videregående udd." 387 32.7 "Uddannelsesniveau" "s_7" "Nej, på ingen afdelinger" NA TRUE NA NA
"Kort / mellemlang videregående udd." 169 14.2 "Uddannelsesniveau" "s_9" "I mindre grad/slet ikke" NA TRUE NA NA
"Kort / mellemlang videregående udd." 283 23.8 "Uddannelsesniveau" "s_227" "I mindre grad/slet ikke" NA TRUE NA NA
"Kort / mellemlang videregående udd." 187 16 "Uddannelsesniveau" "s_162" "I mindre grad/slet ikke" NA TRUE NA NA
"Kort / mellemlang videregående udd." 171 16.7 "Uddannelsesniveau" "s_229" "I mindre grad/slet ikke" NA TRUE NA NA
"Kort / mellemlang videregående udd." 315 27.8 "Uddannelsesniveau" "s_238" "I mindre grad/slet ikke" NA TRUE NA NA
"Kort / mellemlang videregående udd." 95 13.1 "Uddannelsesniveau" "s_66" "I mindre grad/slet ikke" NA TRUE NA NA
"Kort / mellemlang videregående udd." 265 23.3 "Uddannelsesniveau" "s_49" "I nogen grad/i høj grad" NA TRUE NA NA
"Kort / mellemlang videregående udd." 74 33.4 "Uddannelsesniveau" "s_89" "I mindre grad/slet ikke" NA TRUE NA NA
"Kort / mellemlang videregående udd." 262 23.2 "Uddannelsesniveau" "s_130" "Dårligt / Mindre godt" NA TRUE NA NA
"Kort / mellemlang videregående udd." 164 14.6 "Uddannelsesniveau" "s_266" "I mindre grad/slet ikke" NA TRUE NA NA
"Kort / mellemlang videregående udd." 173 15.5 "Uddannelsesniveau" "s_267" "Ja" NA TRUE NA NA
"Kort / mellemlang videregående udd." 59 5.2 "Uddannelsesniveau" "t_ils_hi_score" "T-ILS score >=7" NA TRUE NA NA
"Kort / mellemlang videregående udd." 71 6.4 "Uddannelsesniveau" "hads_anxiety" "HADS anxiety >=11" NA TRUE NA NA
"Kort / mellemlang videregående udd." 43 3.9 "Uddannelsesniveau" "hads_depression" "HADS depression >=11" NA TRUE NA NA
"Kort / mellemlang videregående udd." 285 25.4 "Uddannelsesniveau" "who5" "WHO-1 <50" NA TRUE NA NA
"Kort / mellemlang videregående udd." NA NA "Uddannelsesniveau" "hq_score_physical" NA 2.3 TRUE NA NA
"Kort / mellemlang videregående udd." NA NA "Uddannelsesniveau" "hq_score_emotional" NA 2.4 TRUE NA NA
"Lang videregående udd." 405 39.8 "Uddannelsesniveau" "s_7" "Nej, på ingen afdelinger" NA TRUE NA NA
"Lang videregående udd." 126 12.4 "Uddannelsesniveau" "s_9" "I mindre grad/slet ikke" NA TRUE NA NA
"Lang videregående udd." 283 28 "Uddannelsesniveau" "s_227" "I mindre grad/slet ikke" NA TRUE NA NA
"Lang videregående udd." 169 16.8 "Uddannelsesniveau" "s_162" "I mindre grad/slet ikke" NA TRUE NA NA
"Lang videregående udd." 103 12.9 "Uddannelsesniveau" "s_229" "I mindre grad/slet ikke" NA TRUE NA NA
"Lang videregående udd." 251 25.9 "Uddannelsesniveau" "s_238" "I mindre grad/slet ikke" NA TRUE NA NA
"Lang videregående udd." 61 9.9 "Uddannelsesniveau" "s_66" "I mindre grad/slet ikke" NA TRUE NA NA
"Lang videregående udd." 158 16.2 "Uddannelsesniveau" "s_49" "I nogen grad/i høj grad" NA TRUE NA NA
"Lang videregående udd." 74 35.4 "Uddannelsesniveau" "s_89" "I mindre grad/slet ikke" NA TRUE NA NA
"Lang videregående udd." 179 18.4 "Uddannelsesniveau" "s_130" "Dårligt / Mindre godt" NA TRUE NA NA
"Lang videregående udd." 144 14.8 "Uddannelsesniveau" "s_266" "I mindre grad/slet ikke" NA TRUE NA NA
"Lang videregående udd." 149 15.4 "Uddannelsesniveau" "s_267" "Ja" NA TRUE NA NA
"Lang videregående udd." 46 4.8 "Uddannelsesniveau" "t_ils_hi_score" "T-ILS score >=7" NA TRUE NA NA
"Lang videregående udd." 40 4.1 "Uddannelsesniveau" "hads_anxiety" "HADS anxiety >=11" NA TRUE NA NA
"Lang videregående udd." 47 4.8 "Uddannelsesniveau" "hads_depression" "HADS depression >=11" NA TRUE NA NA
"Lang videregående udd." 203 21 "Uddannelsesniveau" "who5" "WHO-1 <50" NA TRUE NA NA
"Lang videregående udd." NA NA "Uddannelsesniveau" "hq_score_physical" NA 2.4 TRUE NA NA
"Lang videregående udd." NA NA "Uddannelsesniveau" "hq_score_emotional" NA 2.5 TRUE NA NA
"Midtjylland" 306 21.3 "Region" "s_7" "Nej, på ingen afdelinger" NA TRUE NA NA
"Midtjylland" 181 12.6 "Region" "s_9" "I mindre grad/slet ikke" NA TRUE NA NA
"Midtjylland" 215 15.1 "Region" "s_227" "I mindre grad/slet ikke" NA TRUE NA NA
"Midtjylland" 203 14.3 "Region" "s_162" "I mindre grad/slet ikke" NA TRUE NA NA
"Midtjylland" 131 10.9 "Region" "s_229" "I mindre grad/slet ikke" NA TRUE NA NA
"Midtjylland" 244 17.7 "Region" "s_238" "I mindre grad/slet ikke" NA TRUE NA NA
"Midtjylland" 61 6 "Region" "s_66" "I mindre grad/slet ikke" NA TRUE NA NA
"Midtjylland" 309 22.4 "Region" "s_49" "I nogen grad/i høj grad" NA TRUE NA NA
"Midtjylland" 99 31.6 "Region" "s_89" "I mindre grad/slet ikke" NA TRUE NA NA
"Midtjylland" 332 24.2 "Region" "s_130" "Dårligt / Mindre godt" NA TRUE NA NA
"Midtjylland" 248 18.1 "Region" "s_266" "I mindre grad/slet ikke" NA TRUE NA NA
"Midtjylland" 202 14.8 "Region" "s_267" "Ja" NA TRUE NA NA
"Midtjylland" 90 6.5 "Region" "t_ils_hi_score" "T-ILS score >=7" NA TRUE NA NA
"Midtjylland" 88 6.6 "Region" "hads_anxiety" "HADS anxiety >=11" NA TRUE NA NA
"Midtjylland" 61 4.5 "Region" "hads_depression" "HADS depression >=11" NA TRUE NA NA
"Midtjylland" 368 26.8 "Region" "who5" "WHO-1 <50" NA TRUE NA NA
"Midtjylland" NA NA "Region" "hq_score_physical" NA 2.2 TRUE NA NA
"Midtjylland" NA NA "Region" "hq_score_emotional" NA 2.3 TRUE NA NA
"Nordjylland" 279 25.5 "Region" "s_7" "Nej, på ingen afdelinger" NA TRUE NA NA
"Nordjylland" 114 10.3 "Region" "s_9" "I mindre grad/slet ikke" NA TRUE NA NA
"Nordjylland" 147 13.4 "Region" "s_227" "I mindre grad/slet ikke" NA TRUE NA NA
"Nordjylland" 172 15.7 "Region" "s_162" "I mindre grad/slet ikke" NA TRUE NA NA
"Nordjylland" 142 15.4 "Region" "s_229" "I mindre grad/slet ikke" NA TRUE NA NA
"Nordjylland" 155 14.7 "Region" "s_238" "I mindre grad/slet ikke" NA TRUE NA NA
"Nordjylland" 89 11.1 "Region" "s_66" "I mindre grad/slet ikke" NA TRUE NA NA
"Nordjylland" 175 16.3 "Region" "s_49" "I nogen grad/i høj grad" NA TRUE NA NA
"Nordjylland" 69 44.5 "Region" "s_89" "I mindre grad/slet ikke" NA TRUE NA NA
"Nordjylland" 260 24.7 "Region" "s_130" "Dårligt / Mindre godt" NA TRUE NA NA
"Nordjylland" 186 17.6 "Region" "s_266" "I mindre grad/slet ikke" NA TRUE NA NA
"Nordjylland" 149 14.1 "Region" "s_267" "Ja" NA TRUE NA NA
"Nordjylland" 34 3.3 "Region" "t_ils_hi_score" "T-ILS score >=7" NA TRUE NA NA
"Nordjylland" 57 5.5 "Region" "hads_anxiety" "HADS anxiety >=11" NA TRUE NA NA
"Nordjylland" 60 5.8 "Region" "hads_depression" "HADS depression >=11" NA TRUE NA NA
"Nordjylland" 256 24.4 "Region" "who5" "WHO-1 <50" NA TRUE NA NA
"Nordjylland" NA NA "Region" "hq_score_physical" NA 2.1 TRUE NA NA
"Nordjylland" NA NA "Region" "hq_score_emotional" NA 2.4 TRUE NA NA
"Sjælland" 739 37.4 "Region" "s_7" "Nej, på ingen afdelinger" NA TRUE NA NA
"Sjælland" 289 14.7 "Region" "s_9" "I mindre grad/slet ikke" NA TRUE NA NA
"Sjælland" 452 23 "Region" "s_227" "I mindre grad/slet ikke" NA TRUE NA NA
"Sjælland" 449 23 "Region" "s_162" "I mindre grad/slet ikke" NA TRUE NA NA
"Sjælland" 296 17.9 "Region" "s_229" "I mindre grad/slet ikke" NA TRUE NA NA
"Sjælland" 546 29.1 "Region" "s_238" "I mindre grad/slet ikke" NA TRUE NA NA
"Sjælland" 185 14.7 "Region" "s_66" "I mindre grad/slet ikke" NA TRUE NA NA
"Sjælland" 415 22 "Region" "s_49" "I nogen grad/i høj grad" NA TRUE NA NA
"Sjælland" 110 39.8 "Region" "s_89" "I mindre grad/slet ikke" NA TRUE NA NA
"Sjælland" 492 26 "Region" "s_130" "Dårligt / Mindre godt" NA TRUE NA NA
"Sjælland" 318 16.9 "Region" "s_266" "I mindre grad/slet ikke" NA TRUE NA NA
"Sjælland" 344 18.3 "Region" "s_267" "Ja" NA TRUE NA NA
"Sjælland" 96 5.1 "Region" "t_ils_hi_score" "T-ILS score >=7" NA TRUE NA NA
"Sjælland" 111 6 "Region" "hads_anxiety" "HADS anxiety >=11" NA TRUE NA NA
"Sjælland" 103 5.6 "Region" "hads_depression" "HADS depression >=11" NA TRUE NA NA
"Sjælland" 529 28.3 "Region" "who5" "WHO-1 <50" NA TRUE NA NA
"Sjælland" NA NA "Region" "hq_score_physical" NA 2 TRUE NA NA
"Sjælland" NA NA "Region" "hq_score_emotional" NA 2.3 TRUE NA NA
"Syddanmark" 460 24.5 "Region" "s_7" "Nej, på ingen afdelinger" NA TRUE NA NA
"Syddanmark" 255 13.5 "Region" "s_9" "I mindre grad/slet ikke" NA TRUE NA NA
"Syddanmark" 269 14.3 "Region" "s_227" "I mindre grad/slet ikke" NA TRUE NA NA
"Syddanmark" 271 14.5 "Region" "s_162" "I mindre grad/slet ikke" NA TRUE NA NA
"Syddanmark" 218 13.9 "Region" "s_229" "I mindre grad/slet ikke" NA TRUE NA NA
"Syddanmark" 321 17.7 "Region" "s_238" "I mindre grad/slet ikke" NA TRUE NA NA
"Syddanmark" 123 9.8 "Region" "s_66" "I mindre grad/slet ikke" NA TRUE NA NA
"Syddanmark" 345 19.1 "Region" "s_49" "I nogen grad/i høj grad" NA TRUE NA NA
"Syddanmark" 118 32.8 "Region" "s_89" "I mindre grad/slet ikke" NA TRUE NA NA
"Syddanmark" 405 22.7 "Region" "s_130" "Dårligt / Mindre godt" NA TRUE NA NA
"Syddanmark" 371 20.6 "Region" "s_266" "I mindre grad/slet ikke" NA TRUE NA NA
"Syddanmark" 321 17.9 "Region" "s_267" "Ja" NA TRUE NA NA
"Syddanmark" 110 6.2 "Region" "t_ils_hi_score" "T-ILS score >=7" NA TRUE NA NA
"Syddanmark" 115 6.5 "Region" "hads_anxiety" "HADS anxiety >=11" NA TRUE NA NA
"Syddanmark" 96 5.4 "Region" "hads_depression" "HADS depression >=11" NA TRUE NA NA
"Syddanmark" 436 24.5 "Region" "who5" "WHO-1 <50" NA TRUE NA NA
"Syddanmark" NA NA "Region" "hq_score_physical" NA 2.1 TRUE NA NA
"Syddanmark" NA NA "Region" "hq_score_emotional" NA 2.4 TRUE NA NA
"Grundskole" 69 35.4 "Uddannelsesniveau" "s_114" "I nogen grad/i høj grad" NA FALSE NA NA
"Grundskole" 19 9.2 "Uddannelsesniveau" "s_171" "I mindre grad / Slet ikke" NA FALSE NA NA
"Grundskole" 51 24.8 "Uddannelsesniveau" "s_204" "I nogen grad/i høj grad" NA FALSE NA NA
"Grundskole" 39 18.9 "Uddannelsesniveau" "s_50" "I mindre grad / Slet ikke" NA FALSE NA NA
"Grundskole" 98 47.6 "Uddannelsesniveau" "s_51" "I mindre grad / Slet ikke" NA FALSE NA NA
"Grundskole" 115 55.8 "Uddannelsesniveau" "s_172" "Kun nogle gange / Sjældent/aldrig" NA FALSE NA NA
"Grundskole" 72 35 "Uddannelsesniveau" "s_173" "Kun nogle gange / Sjældent/aldrig" NA FALSE NA NA
"Grundskole" 64 31.1 "Uddannelsesniveau" "s_92" "I nogen grad/i høj grad" NA FALSE NA NA
