Spørgsmål,Svarmuligheder,Operationalisering (cut-points),Group
4. Har du på nuværende tidspunkt helt afsluttet din kontakt til sygehuset?  Med 'kontakt til sygehuset' tænkes både på indlæggelse og ambulant behandling (inkl. kontrol) i forbindelse med din hjertesygdom.,Ved ikke,,
4.1 Var du tryg ved at afslutte din ambulante kontakt til sygehuset?  Med 'ambulant kontakt' menes både ambulant behandling og kontrol.,"Ja, i høj grad",0,I nogen grad/i høj grad
4.1 Var du tryg ved at afslutte din ambulante kontakt til sygehuset?  Med 'ambulant kontakt' menes både ambulant behandling og kontrol.,"Ja, i nogen grad",0,I nogen grad/i høj grad
4.1 Var du tryg ved at afslutte din ambulante kontakt til sygehuset?  Med 'ambulant kontakt' menes både ambulant behandling og kontrol.,I mindre grad,1,I mindre grad/slet ikke
4.1 Var du tryg ved at afslutte din ambulante kontakt til sygehuset?  Med 'ambulant kontakt' menes både ambulant behandling og kontrol.,"Nej, slet ikke",1,I mindre grad/slet ikke
4.1 Var du tryg ved at afslutte din ambulante kontakt til sygehuset?  Med 'ambulant kontakt' menes både ambulant behandling og kontrol.,Ved ikke,2,
4.1 Var du tryg ved at afslutte din ambulante kontakt til sygehuset?  Med 'ambulant kontakt' menes både ambulant behandling og kontrol.,Jeg blev ikke behandlet ambulant,,
"4.2 Vidste du, hvad der skulle ske i dit videre forløb, da du afsluttede din kontakt til sygehuset? F.eks. om du skulle kontakte egen længe, om du ville få indkaldelse fra kommunen osv.","Ja, i høj grad",0,I nogen grad/i høj grad
"4.2 Vidste du, hvad der skulle ske i dit videre forløb, da du afsluttede din kontakt til sygehuset? F.eks. om du skulle kontakte egen længe, om du ville få indkaldelse fra kommunen osv.","Ja, i nogen grad",0,I nogen grad/i høj grad
"4.2 Vidste du, hvad der skulle ske i dit videre forløb, da du afsluttede din kontakt til sygehuset? F.eks. om du skulle kontakte egen længe, om du ville få indkaldelse fra kommunen osv.",I mindre grad,1,I mindre grad/slet ikke
"4.2 Vidste du, hvad der skulle ske i dit videre forløb, da du afsluttede din kontakt til sygehuset? F.eks. om du skulle kontakte egen længe, om du ville få indkaldelse fra kommunen osv.","Nej, slet ikke",1,I mindre grad/slet ikke
"4.2 Vidste du, hvad der skulle ske i dit videre forløb, da du afsluttede din kontakt til sygehuset? F.eks. om du skulle kontakte egen længe, om du ville få indkaldelse fra kommunen osv.",Ved ikke,2,
"5. Oplevede du, at der hele tiden var en sygeplejerske på sygehuset, som havde overblik over udredning eller behandling af din hjertesygdom","Ja, i høj grad",0,I nogen grad/i høj grad
"5. Oplevede du, at der hele tiden var en sygeplejerske på sygehuset, som havde overblik over udredning eller behandling af din hjertesygdom","Ja, i nogen grad",0,I nogen grad/i høj grad
"5. Oplevede du, at der hele tiden var en sygeplejerske på sygehuset, som havde overblik over udredning eller behandling af din hjertesygdom",I mindre grad,1,I mindre grad/slet ikke
"5. Oplevede du, at der hele tiden var en sygeplejerske på sygehuset, som havde overblik over udredning eller behandling af din hjertesygdom","Nej, slet ikke",1,I mindre grad/slet ikke
"5. Oplevede du, at der hele tiden var en sygeplejerske på sygehuset, som havde overblik over udredning eller behandling af din hjertesygdom",Ved ikke,2,Ved ikke
"6. Har du, eller har du haft, én eller flere af følgende længerevarende sygdomme samtidig med din hjertesygdom?  Sæt gerne flere kryds",Astma,,
"6. Har du, eller har du haft, én eller flere af følgende længerevarende sygdomme samtidig med din hjertesygdom?  Sæt gerne flere kryds",Allergi (ikke astma),,
"6. Har du, eller har du haft, én eller flere af følgende længerevarende sygdomme samtidig med din hjertesygdom?  Sæt gerne flere kryds",Sukkersyge (diabetes),,
"6. Har du, eller har du haft, én eller flere af følgende længerevarende sygdomme samtidig med din hjertesygdom?  Sæt gerne flere kryds",Forhøjet blodtryk,,
"6. Har du, eller har du haft, én eller flere af følgende længerevarende sygdomme samtidig med din hjertesygdom?  Sæt gerne flere kryds","Hjerneblødning, blodprop i hjernen",,
"6. Har du, eller har du haft, én eller flere af følgende længerevarende sygdomme samtidig med din hjertesygdom?  Sæt gerne flere kryds","Kronisk bronkitis, for store lunger, rygerlunger (emfysem, KOL)",,
"6. Har du, eller har du haft, én eller flere af følgende længerevarende sygdomme samtidig med din hjertesygdom?  Sæt gerne flere kryds",Slidgigt,,
"6. Har du, eller har du haft, én eller flere af følgende længerevarende sygdomme samtidig med din hjertesygdom?  Sæt gerne flere kryds",Leddegigt,,
"6. Har du, eller har du haft, én eller flere af følgende længerevarende sygdomme samtidig med din hjertesygdom?  Sæt gerne flere kryds",Knogleskørhed (Osteoporose),,
"6. Har du, eller har du haft, én eller flere af følgende længerevarende sygdomme samtidig med din hjertesygdom?  Sæt gerne flere kryds",Kræft,,
"6. Har du, eller har du haft, én eller flere af følgende længerevarende sygdomme samtidig med din hjertesygdom?  Sæt gerne flere kryds",Migræne eller hyppig hovedpine,,
"6. Har du, eller har du haft, én eller flere af følgende længerevarende sygdomme samtidig med din hjertesygdom?  Sæt gerne flere kryds",Angst,,
"6. Har du, eller har du haft, én eller flere af følgende længerevarende sygdomme samtidig med din hjertesygdom?  Sæt gerne flere kryds",Depression,,
"6. Har du, eller har du haft, én eller flere af følgende længerevarende sygdomme samtidig med din hjertesygdom?  Sæt gerne flere kryds",Diskusprolaps eller andre rygsygdomme,,
"6. Har du, eller har du haft, én eller flere af følgende længerevarende sygdomme samtidig med din hjertesygdom?  Sæt gerne flere kryds",Anden længerevarende sygdom: ,,
"6. Har du, eller har du haft, én eller flere af følgende længerevarende sygdomme samtidig med din hjertesygdom?  Sæt gerne flere kryds",Jeg har ikke haft andre længerevarende sygdomme,,
"6. Har du, eller har du haft, én eller flere af følgende længerevarende sygdomme samtidig med din hjertesygdom?  Sæt gerne flere kryds - Anden længerevarende sygdom: ",,,
"6.1. Tog man på sygehuset hensyn til dine andre sygdomme i forbindelse med, at du blev behandlet for din hjertesygdom?","Ja, i høj grad",,
"6.1. Tog man på sygehuset hensyn til dine andre sygdomme i forbindelse med, at du blev behandlet for din hjertesygdom?","Ja, i nogen grad",,
"6.1. Tog man på sygehuset hensyn til dine andre sygdomme i forbindelse med, at du blev behandlet for din hjertesygdom?",I mindre grad,,
"6.1. Tog man på sygehuset hensyn til dine andre sygdomme i forbindelse med, at du blev behandlet for din hjertesygdom?","Nej, slet ikke",,
"6.1. Tog man på sygehuset hensyn til dine andre sygdomme i forbindelse med, at du blev behandlet for din hjertesygdom?",Ved ikke,,
"6.1. Tog man på sygehuset hensyn til dine andre sygdomme i forbindelse med, at du blev behandlet for din hjertesygdom?",Ikke relevant - det var ikke nødvendigt eller relevant at tage hensyn til andre sygdomme,,
"7. Spurgte sundhedspersonalet ind til dine egne erfaringer med din sygdom/tilstand? 'Erfaringer med din sygdom' kan f.eks. være symptomer, tegn eller konsekvenser.","Ja, i meget høj grad",0,I nogen grad/i høj grad
"7. Spurgte sundhedspersonalet ind til dine egne erfaringer med din sygdom/tilstand? 'Erfaringer med din sygdom' kan f.eks. være symptomer, tegn eller konsekvenser.","Ja, i høj grad",0,I nogen grad/i høj grad
"7. Spurgte sundhedspersonalet ind til dine egne erfaringer med din sygdom/tilstand? 'Erfaringer med din sygdom' kan f.eks. være symptomer, tegn eller konsekvenser.","Ja, i nogen grad",0,I nogen grad/i høj grad
"7. Spurgte sundhedspersonalet ind til dine egne erfaringer med din sygdom/tilstand? 'Erfaringer med din sygdom' kan f.eks. være symptomer, tegn eller konsekvenser.",I mindre grad,1,I mindre grad/slet ikke
"7. Spurgte sundhedspersonalet ind til dine egne erfaringer med din sygdom/tilstand? 'Erfaringer med din sygdom' kan f.eks. være symptomer, tegn eller konsekvenser.","Nej, slet ikke",1,I mindre grad/slet ikke
"7. Spurgte sundhedspersonalet ind til dine egne erfaringer med din sygdom/tilstand? 'Erfaringer med din sygdom' kan f.eks. være symptomer, tegn eller konsekvenser.",Ved ikke,2,
"8. Var du med på råd, når der blev truffet beslutninger om det, der skulle ske? Det kunne f.eks. være, når der skulles tages beslutninger om undersøgelser, behandling, udskrivelse/afslutning m.m.","Ja, i meget høj grad",0,I nogen grad/i høj grad
"8. Var du med på råd, når der blev truffet beslutninger om det, der skulle ske? Det kunne f.eks. være, når der skulles tages beslutninger om undersøgelser, behandling, udskrivelse/afslutning m.m.","Ja, i høj grad",0,I nogen grad/i høj grad
"8. Var du med på råd, når der blev truffet beslutninger om det, der skulle ske? Det kunne f.eks. være, når der skulles tages beslutninger om undersøgelser, behandling, udskrivelse/afslutning m.m.","Ja, i nogen grad",0,I nogen grad/i høj grad
"8. Var du med på råd, når der blev truffet beslutninger om det, der skulle ske? Det kunne f.eks. være, når der skulles tages beslutninger om undersøgelser, behandling, udskrivelse/afslutning m.m.",I mindre grad,1,I mindre grad/slet ikke
"8. Var du med på råd, når der blev truffet beslutninger om det, der skulle ske? Det kunne f.eks. være, når der skulles tages beslutninger om undersøgelser, behandling, udskrivelse/afslutning m.m.","Nej, slet ikke",1,I mindre grad/slet ikke
"8. Var du med på råd, når der blev truffet beslutninger om det, der skulle ske? Det kunne f.eks. være, når der skulles tages beslutninger om undersøgelser, behandling, udskrivelse/afslutning m.m.",Ved ikke/havde ikke behov,2,
"9. Var der overensstemmelse mellem det, du fik at vide af forskellige sundhedspersoner?","Ja, i meget høj grad",0,I nogen grad/i høj grad
"9. Var der overensstemmelse mellem det, du fik at vide af forskellige sundhedspersoner?","Ja, i høj grad",0,I nogen grad/i høj grad
"9. Var der overensstemmelse mellem det, du fik at vide af forskellige sundhedspersoner?","Ja, i nogen grad",0,I nogen grad/i høj grad
"9. Var der overensstemmelse mellem det, du fik at vide af forskellige sundhedspersoner?",I mindre grad,1,I mindre grad/slet ikke
"9. Var der overensstemmelse mellem det, du fik at vide af forskellige sundhedspersoner?","Nej, slet ikke",1,I mindre grad/slet ikke
"9. Var der overensstemmelse mellem det, du fik at vide af forskellige sundhedspersoner?",Ved ikke,2,
"10. Brugte sundhedspersonalet et sprog, som var til at forstå (ikke fagsprog, men forståeligt dansk)?","Ja, i meget høj grad",0,I nogen grad/i høj grad
"10. Brugte sundhedspersonalet et sprog, som var til at forstå (ikke fagsprog, men forståeligt dansk)?","Ja, i høj grad",0,I nogen grad/i høj grad
"10. Brugte sundhedspersonalet et sprog, som var til at forstå (ikke fagsprog, men forståeligt dansk)?","Ja, i nogen grad",0,I nogen grad/i høj grad
"10. Brugte sundhedspersonalet et sprog, som var til at forstå (ikke fagsprog, men forståeligt dansk)?",I mindre grad,1,I mindre grad/slet ikke
"10. Brugte sundhedspersonalet et sprog, som var til at forstå (ikke fagsprog, men forståeligt dansk)?","Nej, slet ikke",1,I mindre grad/slet ikke
"10. Brugte sundhedspersonalet et sprog, som var til at forstå (ikke fagsprog, men forståeligt dansk)?",Ved ikke,2,
"11. Fik du samlet set den mundtlige og skriftlige information fra sygehuspersonalet, du havde behov for?","Ja, i meget høj grad",0,I nogen grad/i høj grad
"11. Fik du samlet set den mundtlige og skriftlige information fra sygehuspersonalet, du havde behov for?","Ja, i høj grad",0,I nogen grad/i høj grad
"11. Fik du samlet set den mundtlige og skriftlige information fra sygehuspersonalet, du havde behov for?","Ja, i nogen grad",0,I nogen grad/i høj grad
"11. Fik du samlet set den mundtlige og skriftlige information fra sygehuspersonalet, du havde behov for?",I mindre grad,1,I mindre grad/slet ikke
"11. Fik du samlet set den mundtlige og skriftlige information fra sygehuspersonalet, du havde behov for?","Nej, slet ikke",1,I mindre grad/slet ikke
"11. Fik du samlet set den mundtlige og skriftlige information fra sygehuspersonalet, du havde behov for?",Ved ikke,2,
12. Oplevede du én eller flere af følgende situationer? Sæt gerne flere kryds,Min behandling blev udsat eller aflyst,,
12. Oplevede du én eller flere af følgende situationer? Sæt gerne flere kryds,Ventetiden til en behandling var meget lang eller behandlingsgarantien blev ikke overholdt,,
12. Oplevede du én eller flere af følgende situationer? Sæt gerne flere kryds,Fejlbehandlet (f.eks. forkert operation/ medicin),,
12. Oplevede du én eller flere af følgende situationer? Sæt gerne flere kryds,Fejl i min journal eller vigtig information om mit sygdomsforløb manglede,,
12. Oplevede du én eller flere af følgende situationer? Sæt gerne flere kryds,Der opstod alvorlige komplikationer under/efter operation,,
12. Oplevede du én eller flere af følgende situationer? Sæt gerne flere kryds,Andre fejl eller utilsigtede hændelser,,
12. Oplevede du én eller flere af følgende situationer? Sæt gerne flere kryds,"Nej, jeg har ikke oplevet fejl eller utilsigtede hændelser",,
12. Oplevede du én eller flere af følgende situationer? Sæt gerne flere kryds - Andre fejl eller utilsigtede hændelser - skriv venligst,,,
13. Har du haft kontakt med din praktiserende læge i forbindelse med din hjertesygdom? ,Ja,0,
13. Har du haft kontakt med din praktiserende læge i forbindelse med din hjertesygdom? ,Nej,1,
"13.1 Synes du, at du fik den hjælp og støtte fra din praktiserende læge, som du havde brug for?","Ja, i høj grad",0,I nogen grad/i høj grad
"13.1 Synes du, at du fik den hjælp og støtte fra din praktiserende læge, som du havde brug for?","Ja, i nogen grad",0,I nogen grad/i høj grad
"13.1 Synes du, at du fik den hjælp og støtte fra din praktiserende læge, som du havde brug for?",I mindre grad,1,I mindre grad/slet ikke
"13.1 Synes du, at du fik den hjælp og støtte fra din praktiserende læge, som du havde brug for?","Nej, slet ikke",1,I mindre grad/slet ikke
"13.1 Synes du, at du fik den hjælp og støtte fra din praktiserende læge, som du havde brug for?",Ved ikke,2,
"13.2 Oplevede du, at din praktiserende læge var informeret om behandlingen for din hjertesygdom?","Ja, i høj grad",0,I nogen grad/i høj grad
"13.2 Oplevede du, at din praktiserende læge var informeret om behandlingen for din hjertesygdom?","Ja, i nogen grad",0,I nogen grad/i høj grad
"13.2 Oplevede du, at din praktiserende læge var informeret om behandlingen for din hjertesygdom?",I mindre grad,1,I mindre grad/slet ikke
"13.2 Oplevede du, at din praktiserende læge var informeret om behandlingen for din hjertesygdom?","Nej, slet ikke",1,I mindre grad/slet ikke
"13.2 Oplevede du, at din praktiserende læge var informeret om behandlingen for din hjertesygdom?",Ved ikke,2,
"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? Sæt ét kryds i hver linje - Hvilke undersøgelser og behandlingsforløb du skulle igennem","Ja, i høj grad",0,I nogen grad/i høj grad
"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? Sæt ét kryds i hver linje - Hvilke undersøgelser og behandlingsforløb du skulle igennem","Ja, i nogen grad",0,I nogen grad/i høj grad
"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? Sæt ét kryds i hver linje - Hvilke undersøgelser og behandlingsforløb du skulle igennem",I mindre grad,1,I mindre grad/slet ikke
"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? Sæt ét kryds i hver linje - Hvilke undersøgelser og behandlingsforløb du skulle igennem","Nej, slet ikke",1,I mindre grad/slet ikke
"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? Sæt ét kryds i hver linje - Hvilke undersøgelser og behandlingsforløb du skulle igennem",Ved ikke,2,
"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? Sæt ét kryds i hver linje - Hvad sygdommen kan betyde for din fremtid","Ja, i høj grad",0,I nogen grad/i høj grad
"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? Sæt ét kryds i hver linje - Hvad sygdommen kan betyde for din fremtid","Ja, i nogen grad",0,I nogen grad/i høj grad
"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? Sæt ét kryds i hver linje - Hvad sygdommen kan betyde for din fremtid",I mindre grad,1,I mindre grad/slet ikke
"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? Sæt ét kryds i hver linje - Hvad sygdommen kan betyde for din fremtid","Nej, slet ikke",1,I mindre grad/slet ikke
"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? Sæt ét kryds i hver linje - Hvad sygdommen kan betyde for din fremtid",Ved ikke,2,
"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? Sæt ét kryds i hver linje - Hvilke fysiske symptomer/reaktioner, du kan opleve som følge af operation eller øvrig behandling af din hjertesygdom","Ja, i høj grad",0,I nogen grad/i høj grad
"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? Sæt ét kryds i hver linje - Hvilke fysiske symptomer/reaktioner, du kan opleve som følge af operation eller øvrig behandling af din hjertesygdom","Ja, i nogen grad",0,I nogen grad/i høj grad
"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? Sæt ét kryds i hver linje - Hvilke fysiske symptomer/reaktioner, du kan opleve som følge af operation eller øvrig behandling af din hjertesygdom",I mindre grad,1,I mindre grad/slet ikke
"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? Sæt ét kryds i hver linje - Hvilke fysiske symptomer/reaktioner, du kan opleve som følge af operation eller øvrig behandling af din hjertesygdom","Nej, slet ikke",1,I mindre grad/slet ikke
"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? Sæt ét kryds i hver linje - Hvilke fysiske symptomer/reaktioner, du kan opleve som følge af operation eller øvrig behandling af din hjertesygdom",Ved ikke,2,
"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? Sæt ét kryds i hver linje - Hvilke følelsesmæssige reaktioner (f.eks. symptomer på angst og depression), du kan opleve som følge af din hjertesygdom","Ja, i høj grad",0,I nogen grad/i høj grad
"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? Sæt ét kryds i hver linje - Hvilke følelsesmæssige reaktioner (f.eks. symptomer på angst og depression), du kan opleve som følge af din hjertesygdom","Ja, i nogen grad",0,I nogen grad/i høj grad
"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? Sæt ét kryds i hver linje - Hvilke følelsesmæssige reaktioner (f.eks. symptomer på angst og depression), du kan opleve som følge af din hjertesygdom",I mindre grad,1,I mindre grad/slet ikke
"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? Sæt ét kryds i hver linje - Hvilke følelsesmæssige reaktioner (f.eks. symptomer på angst og depression), du kan opleve som følge af din hjertesygdom","Nej, slet ikke",1,I mindre grad/slet ikke
"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? Sæt ét kryds i hver linje - Hvilke følelsesmæssige reaktioner (f.eks. symptomer på angst og depression), du kan opleve som følge af din hjertesygdom",Ved ikke,2,
"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? Sæt ét kryds i hver linje - Hvilke følelsesmæssige reaktioner (f.eks. symptomer på angst og depression) dine pårørende kan opleve som følge af din hjertesygdom","Ja, i høj grad",0,I nogen grad/i høj grad
"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? Sæt ét kryds i hver linje - Hvilke følelsesmæssige reaktioner (f.eks. symptomer på angst og depression) dine pårørende kan opleve som følge af din hjertesygdom","Ja, i nogen grad",0,I nogen grad/i høj grad
"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? Sæt ét kryds i hver linje - Hvilke følelsesmæssige reaktioner (f.eks. symptomer på angst og depression) dine pårørende kan opleve som følge af din hjertesygdom",I mindre grad,1,I mindre grad/slet ikke
"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? Sæt ét kryds i hver linje - Hvilke følelsesmæssige reaktioner (f.eks. symptomer på angst og depression) dine pårørende kan opleve som følge af din hjertesygdom","Nej, slet ikke",1,I mindre grad/slet ikke
"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? Sæt ét kryds i hver linje - Hvilke følelsesmæssige reaktioner (f.eks. symptomer på angst og depression) dine pårørende kan opleve som følge af din hjertesygdom",Ved ikke,2,
"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? Sæt ét kryds i hver linje - Hvad sygdommen kan betyde for dit forhold til familie, venner m.fl.","Ja, i høj grad",0,I nogen grad/i høj grad
"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? Sæt ét kryds i hver linje - Hvad sygdommen kan betyde for dit forhold til familie, venner m.fl.","Ja, i nogen grad",0,I nogen grad/i høj grad
"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? Sæt ét kryds i hver linje - Hvad sygdommen kan betyde for dit forhold til familie, venner m.fl.",I mindre grad,1,I mindre grad/slet ikke
"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? Sæt ét kryds i hver linje - Hvad sygdommen kan betyde for dit forhold til familie, venner m.fl.","Nej, slet ikke",1,I mindre grad/slet ikke
"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? Sæt ét kryds i hver linje - Hvad sygdommen kan betyde for dit forhold til familie, venner m.fl.",Ved ikke,2,
"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? (fortsat) Sæt ét kryds i hver linje - Hvad sygdommen kan betyde for dit sex- og samliv","Ja, i høj grad",0,I nogen grad/i høj grad
"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? (fortsat) Sæt ét kryds i hver linje - Hvad sygdommen kan betyde for dit sex- og samliv","Ja, i nogen grad",0,I nogen grad/i høj grad
"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? (fortsat) Sæt ét kryds i hver linje - Hvad sygdommen kan betyde for dit sex- og samliv",I mindre grad,1,I mindre grad/slet ikke
"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? (fortsat) Sæt ét kryds i hver linje - Hvad sygdommen kan betyde for dit sex- og samliv","Nej, slet ikke",1,I mindre grad/slet ikke
"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? (fortsat) Sæt ét kryds i hver linje - Hvad sygdommen kan betyde for dit sex- og samliv",Ved ikke,2,
"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? (fortsat) Sæt ét kryds i hver linje - Hvad du selv kan gøre for at få det bedre f.eks. ved fysisk træning eller kost","Ja, i høj grad",0,I nogen grad/i høj grad
"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? (fortsat) Sæt ét kryds i hver linje - Hvad du selv kan gøre for at få det bedre f.eks. ved fysisk træning eller kost","Ja, i nogen grad",0,I nogen grad/i høj grad
"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? (fortsat) Sæt ét kryds i hver linje - Hvad du selv kan gøre for at få det bedre f.eks. ved fysisk træning eller kost",I mindre grad,1,I mindre grad/slet ikke
"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? (fortsat) Sæt ét kryds i hver linje - Hvad du selv kan gøre for at få det bedre f.eks. ved fysisk træning eller kost","Nej, slet ikke",1,I mindre grad/slet ikke
"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? (fortsat) Sæt ét kryds i hver linje - Hvad du selv kan gøre for at få det bedre f.eks. ved fysisk træning eller kost",Ved ikke,2,
"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? (fortsat) Sæt ét kryds i hver linje - Hvor du skal henvende dig i tilfælde af forværring af din sygdom","Ja, i høj grad",0,I nogen grad/i høj grad
"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? (fortsat) Sæt ét kryds i hver linje - Hvor du skal henvende dig i tilfælde af forværring af din sygdom","Ja, i nogen grad",0,I nogen grad/i høj grad
"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? (fortsat) Sæt ét kryds i hver linje - Hvor du skal henvende dig i tilfælde af forværring af din sygdom",I mindre grad,1,I mindre grad/slet ikke
"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? (fortsat) Sæt ét kryds i hver linje - Hvor du skal henvende dig i tilfælde af forværring af din sygdom","Nej, slet ikke",1,I mindre grad/slet ikke
"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? (fortsat) Sæt ét kryds i hver linje - Hvor du skal henvende dig i tilfælde af forværring af din sygdom",Ved ikke,2,
"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? (fortsat) Sæt ét kryds i hver linje - Hvad du kan holde til rent fysisk","Ja, i høj grad",0,I nogen grad/i høj grad
"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? (fortsat) Sæt ét kryds i hver linje - Hvad du kan holde til rent fysisk","Ja, i nogen grad",0,I nogen grad/i høj grad
"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? (fortsat) Sæt ét kryds i hver linje - Hvad du kan holde til rent fysisk",I mindre grad,1,I mindre grad/slet ikke
