questionName ,variableName,questionType,subType,questionText,choiceValue,choiceText,include_database,include_report,stratified,question_group,converted_binary,question_number,question_integer,sort_order
s_107,s_107,Closed,Single,3. Hvilke opgaver hjalp du den hjertesyge med i forbindelse med hjertesygdommen? Sæt ét kryds i hver linje - At holde familie og venner orienteret om sygdommen,NA,,1,1,0,,NA,3,3,11
s_114,s_114,Closed,Single,3.1  I hvor høj grad var opgaverne en fysisk eller psykisk belastning for dig?,NA,,1,1,0,,NA,3.1,3,12
s_171,s_171,Closed,Single,"4. Var du og den hjertesyge enige om din rolle i behandlingsforløbet? Fx om du skulle med til samtaler eller hjælpe med medicin, sund livsstil etc.",NA,,1,1,1,,NA,4,4,13
s_109,s_109,Closed,Single,"4.1 Hvis du og den hjertesyge ikke var enige om din rolle i behandlingsforløbet, i hvilken retning gik uoverensstemmelserne da ?",NA,,1,1,0,,NA,4.1,4,14
s_195,s_195,Closed,Single,"5. Synes du, at den hjertesyges sygdom... Sæt ét kryds i hver linje - Var psykisk belastende for dig?",NA,,1,1,0,,NA,5,5,15
s_196,s_196,Closed,Single,"5. Synes du, at den hjertesyges sygdom... Sæt ét kryds i hver linje - Havde negativ betydning for dit eget fysiske helbred?",NA,,1,1,0,,NA,5,5,16
s_197,s_197,Closed,Single,"5. Synes du, at den hjertesyges sygdom... Sæt ét kryds i hver linje - Gjorde at du ikke havde tid eller overskud til din (øvrige) familie?",NA,,1,1,0,,NA,5,5,17
s_198,s_198,Closed,Single,"5. Synes du, at den hjertesyges sygdom... Sæt ét kryds i hver linje - Gjorde at du ikke havde tid eller overskud til dine (øvrige) venner/bekendte?",NA,,1,1,0,,NA,5,5,18
s_199,s_199,Closed,Single,"5. Synes du, at den hjertesyges sygdom... Sæt ét kryds i hver linje - Gjorde at du ikke havde tid eller overskud til dine egne aktiviteter?",NA,,1,1,0,,NA,5,5,19
s_200,s_200,Closed,Single,"5. Synes du, at den hjertesyges sygdom... Sæt ét kryds i hver linje - Gav dig et tættere forhold til den hjertesyge?",NA,,1,1,0,,NA,5,5,20
s_201,s_201,Closed,Single,"5. Synes du, at den hjertesyges sygdom... Sæt ét kryds i hver linje - Gav flere konflikter med den hjertesyge?",NA,,1,1,0,,NA,5,5,21
s_202,s_202,Closed,Single,"5. Synes du, at den hjertesyges sygdom... Sæt ét kryds i hver linje - Gjorde at dine drømme om fremtiden er bristet?",NA,,1,1,0,,NA,5,5,22
s_203,s_203,Closed,Single,"5. Synes du, at den hjertesyges sygdom... Sæt ét kryds i hver linje - Gav dig øget opmærksomhed på de vigtige ting i livet?",NA,,1,1,0,,NA,5,5,23
s_204,s_204,Closed,Single,"6. Oplevede du, at folk kunne have svært ved at sætte sig ind i din situation som pårørende og hjertesygdommens konsekvenser?",NA,,1,1,1,,NA,6,6,24
s_205,s_205,Closed,Single,"7. Oplevede du, at folk undlod at spørge til, hvordan du havde det? Her tænkes på, hvordan du havde det i din rolle som pårørende.",NA,,1,0,0,,NA,7,7,25
s_206,s_206,Closed,Single,"8. Fik du tilstrækkelig hjælp fra familie, venner eller andre i din omgangskreds? Her tænkes både på praktisk hjælp og psykisk støtte ift. hjertesygdommen.",NA,,1,0,0,,NA,8,8,26
s_50,s_50,Closed,Single,"9. Fik du alt i alt den information fra sundhedspersonale om hjertesygdommen, som du havde brug for?",NA,,1,1,1,,NA,9,9,27
s_164,s_164,Closed,Single,"10. Synes du, at du samlet set fik den hjælp i sundhedsvæsenet, som du havde behov for... Sæt ét kryds i hver linje - Til at støtte den hjertesyge, så han/hun kan leve bedst muligt med hjertesygdommen",NA,,1,0,0,,NA,10,10,28
s_165,s_165,Closed,Single,"10. Synes du, at du samlet set fik den hjælp i sundhedsvæsenet, som du havde behov for... Sæt ét kryds i hver linje - Til selv at leve bedst muligt som pårørende til en hjertesyg",NA,,1,0,0,,NA,10,10,29
s_51,s_51,Closed,Single,"11. Oplevede du, at sundhedspersonalet på sygehuset var interesseret i din erfaring og viden om den hjertesyge?",NA,,1,1,1,,NA,11,11,30
s_52,s_52,Closed,Single,"12. Tog sundhedspersonalet hensyn til dine muligheder for at deltage ved stuegang, undersøgelser eller samtaler med sundhedspersonalet vedrørende den hjertesyges sygdom?  Fx ved at lægge aftaler på tidspunkter, hvor du også havde mulighed for at komme med?",NA,,1,0,0,,NA,12,12,31
s_53,s_53,Closed,Single,"13. Brugte sundhedspersonalet på sygehusene et sprog, som var til at forstå (ikke fagsprog, men forståeligt dansk)?",NA,,1,0,0,,NA,13,13,32
s_54,s_54,Closed,Single,14. Opfordrede sundhedspersonalet dig til at stille spørgsmål eller tale om bekymringer?,NA,,1,0,0,,NA,14,14,33
s_172,s_172,Closed,Single,"15. Udviste sundhedspersonalet interesse for, hvordan du havde det? ",NA,,1,1,1,,NA,15,15,34
s_173,s_173,Closed,Single,"16. Inddrog sundhedspersonalet dig i den hjertesyges sygdom/behandling/pleje på den måde, du ønskede at blive inddraget?",NA,,1,1,1,,NA,16,16,35
s_123,s_123,Closed,Single,"16.1 Hvis ikke du blev inddraget, som du ønskede, var det da mere eller mindre, end du havde lyst til?",NA,,1,0,0,,NA,16.1,16,36
s_58,s_58,Closed,Single,"Kontakt til egen læge  17. Fik du som pårørende tilstrækkelig støtte fra din egen og/eller den hjertesyges praktiserende læge? Med støtte menes både information, rådgivning og behandling.",NA,,1,0,0,,NA,NA,,37
s_87,s_87,Closed,Single,18. Blev du i forbindelse med den hjertesyges hjertesygdom tilbudt følgende? Sæt ét kryds i hver linje - Samtaler med en psykolog,NA,,1,1,0,s_87,1,18,18,38
s_87,s_88,Closed,Single,18. Blev du i forbindelse med den hjertesyges hjertesygdom tilbudt følgende? Sæt ét kryds i hver linje - Samtalegrupper med andre pårørende,NA,,1,1,0,s_87,1,18,18,39
s_87,s_89,Closed,Single,"18. Blev du i forbindelse med den hjertesyges hjertesygdom tilbudt følgende? Sæt ét kryds i hver linje - Samtaler med socialrådgiver (om dine muligheder, rettigheder som pårørende ift. arbejdsmarked, støtte, indsigt m.m.)",NA,,1,1,0,s_87,1,18,18,40
s_87,s_90,Closed,Single,"18. Blev du i forbindelse med den hjertesyges hjertesygdom tilbudt følgende? Sæt ét kryds i hver linje - Rådgivning eller kurser om kost, motion, medicin, sygdommen, rollen som pårørende, sex og samliv, psykiske reaktioner m.m.",NA,,1,1,0,s_87,1,18,18,41
s_87,s_91,Closed,Single,18. Blev du i forbindelse med den hjertesyges hjertesygdom tilbudt følgende? Sæt ét kryds i hver linje - Aflastning ift. praktiske opgaver,NA,,1,1,0,s_87,1,18,18,42
s_87,s_110,Closed,Single,18. Blev du i forbindelse med den hjertesyges hjertesygdom tilbudt følgende? Sæt ét kryds i hver linje - Individuel samtale med anden pårørende,NA,,1,1,0,s_87,1,18,18,43
s_124,s_124,Closed,Single,18.1 Hvordan vil du vurdere kvaliteten af tilbuddene? - Samtaler med en psykolog,NA,,1,1,0,s_124,1,18.1,18,44
s_124,s_125,Closed,Single,18.1 Hvordan vil du vurdere kvaliteten af tilbuddene? - Samtalegrupper med andre pårørende,NA,,1,1,0,s_124,1,18.1,18,45
s_124,s_126,Closed,Single,"18.1 Hvordan vil du vurdere kvaliteten af tilbuddene? - Samtaler med socialrådgiver (om dine muligheder og rettigheder som pårørende ift. arbejdsmarked, støtte og indsigt m.m.)",NA,,1,1,0,s_124,1,18.1,18,46
s_124,s_127,Closed,Single,"18.1 Hvordan vil du vurdere kvaliteten af tilbuddene? - Rådgivning eller kurser om kost, motion, medicin, sygdommen, rollen som pårørende, sex og samliv, psykiske reaktioner m.m.",NA,,1,1,0,s_124,1,18.1,18,47
s_124,s_128,Closed,Single,18.1 Hvordan vil du vurdere kvaliteten af tilbuddene? - Aflastning ift. praktiske opgaver,NA,,1,1,0,s_124,1,18.1,18,48
s_124,s_129,Closed,Single,18.1 Hvordan vil du vurdere kvaliteten af tilbuddene? - Individuel samtale med andre pårørende,NA,,1,1,0,s_124,1,18.1,18,49
s_92,s_92,Closed,Single,"19. Savnede du information om, hvor du som pårørende kunne få hjælp og støtte? ",NA,,1,1,0,,NA,19,19,50
s_19,s_19,Closed,Single,"20. Var du i arbejde, da den hjertesyge blev syg? Arbejde inkluderer her også deltidsarbejde, fleksjob eller barsel.",NA,,1,0,0,,NA,20,20,51
s_20,s_20_1,Closed,Multiple,20.1 Har din arbejdssituation ændret sig som følge af din rolle som pårørende til den hjertesyge? Sæt ét eller flere kryds,1,"Ja, jeg er blevet fyret",1,1,0,,NA,20.1,20,52
s_20,s_20_2,Closed,Multiple,20.1 Har din arbejdssituation ændret sig som følge af din rolle som pårørende til den hjertesyge? Sæt ét eller flere kryds,2,"Ja, jeg har måttet stoppe med at arbejde i en periode",1,1,0,,NA,20.1,20,53
s_20,s_20_3,Closed,Multiple,20.1 Har din arbejdssituation ændret sig som følge af din rolle som pårørende til den hjertesyge? Sæt ét eller flere kryds,3,"Ja, jeg er holdt op med at arbejde",1,1,0,,NA,20.1,20,54
s_20,s_20_4,Closed,Multiple,20.1 Har din arbejdssituation ændret sig som følge af din rolle som pårørende til den hjertesyge? Sæt ét eller flere kryds,4,"Ja, jeg har skiftet arbejde/karrierevej",1,1,0,,NA,20.1,20,55
s_20,s_20_5,Closed,Multiple,20.1 Har din arbejdssituation ændret sig som følge af din rolle som pårørende til den hjertesyge? Sæt ét eller flere kryds,5,"Ja, jeg har fået færre arbejdstimer om ugen",1,1,0,,NA,20.1,20,56
s_20,s_20_6,Closed,Multiple,20.1 Har din arbejdssituation ændret sig som følge af din rolle som pårørende til den hjertesyge? Sæt ét eller flere kryds,6,"Ja, jeg har fået andre andre arbejdsopgaver end tidligere.",1,1,0,,NA,20.1,20,57
s_20,s_20_7,Closed,Multiple,20.1 Har din arbejdssituation ændret sig som følge af din rolle som pårørende til den hjertesyge? Sæt ét eller flere kryds,7,"Nej, min arbejdssituation er den samme",1,1,0,,NA,20.1,20,58
s_20,s_20_8,Closed,Multiple,20.1 Har din arbejdssituation ændret sig som følge af din rolle som pårørende til den hjertesyge? Sæt ét eller flere kryds,8,Andet,1,1,0,,NA,20.1,20,59
s_1,s_1,Open,String,"20.1 Har din arbejdssituation ændret sig som følge af din rolle som pårørende til den hjertesyge? Sæt ét eller flere kryds - Andet, skriv venligst:",NA,,1,0,0,,NA,20.1,20,60
s_22,s_22,Closed,Single,"20.2 Kunne du få fri, orlov eller lignende i det omfang, det har været nødvendigt? Fx til at deltage i samtaler/undersøgelser/behandling på sygehuset, hos egen læge eller i kommunen.",NA,,1,0,0,,NA,20.2,20,61
s_23,s_23_1,Closed,Multiple,20.2.1 Hvad gjorde det muligt for dig at få fri? Sæt ét eller flere krydser,1,Jeg brugte opsparede feriedage eller feriefridage,1,0,0,,NA,20.2.1,20,62
s_23,s_23_2,Closed,Multiple,20.2.1 Hvad gjorde det muligt for dig at få fri? Sæt ét eller flere krydser,2,Jeg arbejdede mere på andre tidspunkter eller brugte opsparet afspadsering,1,0,0,,NA,20.2.1,20,63
s_23,s_23_3,Closed,Multiple,20.2.1 Hvad gjorde det muligt for dig at få fri? Sæt ét eller flere krydser,3,Jeg holdt fri/orlov med fuld løn,1,0,0,,NA,20.2.1,20,64
s_23,s_23_4,Closed,Multiple,20.2.1 Hvad gjorde det muligt for dig at få fri? Sæt ét eller flere krydser,4,Jeg holdt fri/orlov med lønnedgang,1,0,0,,NA,20.2.1,20,65
s_23,s_23_5,Closed,Multiple,20.2.1 Hvad gjorde det muligt for dig at få fri? Sæt ét eller flere krydser,5,Jeg byttede vagt med en anden,1,0,0,,NA,20.2.1,20,66
s_23,s_23_6,Closed,Multiple,20.2.1 Hvad gjorde det muligt for dig at få fri? Sæt ét eller flere krydser,7,Andet - skriv venligst:,1,0,0,,NA,20.2.1,20,67
s_2,s_2,Open,String,20.2.1 Hvad gjorde det muligt for dig at få fri? Sæt ét eller flere krydser - Andet - skriv venligst:,NA,,1,0,0,,NA,20.2.1,20,68
s_112,s_112,Closed,Single,20.3 Har du på noget tidspunkt måttet sygemelde dig på grund af din rolle som pårørende til en hjertesyg?,NA,,1,1,1,,NA,20.3,20,69
s_25,s_25,Closed,Single,"20.4 Gjorde hjertesygdommen, at du måtte forsømme arbejdet så meget, at det gav dig problemer på arbejdspladsen? Her tænkes på problemer, som både kan skyldes manglende fysisk og psykisk tilstedeværelse.",NA,,1,1,1,,NA,20.4,20,70
s_27,s_27,Closed,Single,"21. Hvis du ikke allerede er gået ned i arbejdstid eller har forladt arbejdsmarkedet, har du så overvejet at gøre det på grund af din rolle som pårørende til en hjertesyg?",NA,,1,0,0,,NA,21,21,71
s_26,s_26,Closed,Single,"22. Oplevede du negative økonomiske konsekvenser af at være pårørende til en hjertesyg? Her tænkes fx på lønnedgang og udgifter relateret til fx medicin, indkøb, transport og lignende.",NA,,1,0,0,,NA,22,22,72
s_207,s_207,Closed,Single,"23. Hvordan synes du, dit helbred er alt i alt?",NA,,1,1,1,,NA,23,23,73
s_61,s_61,Closed,Single,Søvn  24. Hvor ofte inden for de seneste fire uger... Sæt ét kryds i hver linje - Er du vågnet flere gange og har haft svært ved at falde i søvn igen?,NA,,1,0,0,,NA,NA,,74
s_62,s_62,Closed,Single,"Søvn  24. Hvor ofte inden for de seneste fire uger... Sæt ét kryds i hver linje - Har du følt, at du ikke var udhvilet, når du vågende?",NA,,1,0,0,,NA,NA,,75
s_63,s_63,Closed,Single,Søvn  24. Hvor ofte inden for de seneste fire uger... Sæt ét kryds i hver linje - Har du følt dit træt i løbet af dagen?,NA,,1,0,0,,NA,NA,,76
s_174,s_174,Closed,Single,25. Er du i forbindelse med den hjertesyges sygdom bekymret for følgende? Sæt ét kryds i hver linje - Om den hjertesyge får/fik den rette behandling,NA,,1,0,0,,NA,25,25,77
s_175,s_175,Closed,Single,25. Er du i forbindelse med den hjertesyges sygdom bekymret for følgende? Sæt ét kryds i hver linje - Om hjertesygdommen forværres,NA,,1,1,1,,NA,25,25,78
s_176,s_176,Closed,Single,25. Er du i forbindelse med den hjertesyges sygdom bekymret for følgende? Sæt ét kryds i hver linje - Om den hjertesyge bekymrer sig,NA,,1,0,0,,NA,25,25,79
s_177,s_177,Closed,Single,25. Er du i forbindelse med den hjertesyges sygdom bekymret for følgende? Sæt ét kryds i hver linje - Hvordan fremtiden ser ud,NA,,1,0,0,,NA,25,25,80
s_178,s_178,Closed,Single,25. Er du i forbindelse med den hjertesyges sygdom bekymret for følgende? Sæt ét kryds i hver linje - Hvordan du får talt med den hjertesyge om sygdommen,NA,,1,0,0,,NA,25,25,81
s_179,s_179,Closed,Single,"25. Er du i forbindelse med den hjertesyges sygdom bekymret for følgende? Sæt ét kryds i hver linje - Om du er der, hvis hjertesygdommen akut forværres",NA,,1,0,0,,NA,25,25,82
s_180,s_180,Closed,Single,25. Er du i forbindelse med den hjertesyges sygdom bekymret for følgende? Sæt ét kryds i hver linje - Om du kan holde til det fysisk og psykisk,NA,,1,0,0,,NA,25,25,83
s_95,s_95,Closed,Single,26. Hvor ofte sker det... - At du føler dig isoleret fra andre?,NA,,1,0,0,,NA,26,26,84
s_96,s_96,Closed,Single,26. Hvor ofte sker det... - At du savner nogen at være sammen med?,NA,,1,0,0,,NA,26,26,85
s_97,s_97,Closed,Single,26. Hvor ofte sker det... - At du føler dig holdt udenfor?,NA,,1,0,0,,NA,26,26,86
s_64,s_64,Closed,Single,27. I de seneste 2 uger... Sæt ét kryds i hver linje - Har jeg været glad og i godt humør,NA,,1,0,0,,NA,27,27,87
s_143,s_143,Closed,Single,27. I de seneste 2 uger... Sæt ét kryds i hver linje - Har jeg følt mig rolig og afslappet,NA,,1,0,0,,NA,27,27,88
s_144,s_144,Closed,Single,27. I de seneste 2 uger... Sæt ét kryds i hver linje - Har jeg følt mig aktiv og energisk,NA,,1,0,0,,NA,27,27,89
s_145,s_145,Closed,Single,27. I de seneste 2 uger... Sæt ét kryds i hver linje - Er jeg vågnet frisk og udhvilet,NA,,1,0,0,,NA,27,27,90
s_146,s_146,Closed,Single,"27. I de seneste 2 uger... Sæt ét kryds i hver linje - Har min dagligdag været fyldt med ting, der interesserer mig",NA,,1,0,0,,NA,27,27,91
s_147,s_147,Closed,Single,"28. Hvor stor en del af tiden i de seneste 2 uger har du... Sæt ét kryds i hver linje - Følt dig trist til mode, ked af det?",NA,,1,0,0,,NA,28,28,92
s_148,s_148,Closed,Single,28. Hvor stor en del af tiden i de seneste 2 uger har du... Sæt ét kryds i hver linje - Manglet interesse for dine daglige gøremål?,NA,,1,0,0,,NA,28,28,93
s_149,s_149,Closed,Single,"29. Hvor stor en del af tiden i de seneste 2 uger har du... Sæt ét kryds i hver linje - Været nervøs, anspændt eller følt indre uro?",NA,,1,1,1,,NA,29,29,94
s_150,s_150,Closed,Single,29. Hvor stor en del af tiden i de seneste 2 uger har du... Sæt ét kryds i hver linje - Været meget bekymret over selv de mindste ting i din dagligdag?,NA,,1,1,1,,NA,29,29,95
s_181,s_181,Closed,Single,30. Jeg har følt mig anspændt eller stresset,NA,,1,0,0,,NA,30,30,96
s_182,s_182,Closed,Single,"31. Jeg har fortsat fundet glæde ved det, jeg plejede at glæde mig over",NA,,1,0,0,,NA,31,31,97
s_183,s_183,Closed,Single,"32. Jeg har haft en slags forskrækket følelse, som om noget frygteligt var ved at ske",NA,,1,0,0,,NA,32,32,98
s_184,s_184,Closed,Single,33. Jeg har kunnet le og se det morsomme i mange ting,NA,,1,0,0,,NA,33,33,99
s_185,s_185,Closed,Single,"34. Jeg har haft bekymrende tanker, der er faret igennem hovedet på mig",NA,,1,0,0,,NA,34,34,100
s_186,s_186,Closed,Single,35. Jeg har følt mig i godt humør,NA,,1,0,0,,NA,35,35,101
s_187,s_187,Closed,Single,36. Jeg har kunnet sidde behageligt og føle mig afslappet,NA,,1,0,0,,NA,36,36,102
s_188,s_188,Closed,Single,"37. Jeg har følt det, som om jeg fungerede langsommere",NA,,1,0,0,,NA,37,37,103
s_189,s_189,Closed,Single,"38. Jeg har en slags forskrækket følelse, som om jeg havde \\sommerfugle\\ i maven",NA,,1,0,0,,NA,38,38,104
s_190,s_190,Closed,Single,39. Jeg har mistet interessen for mit udseende,NA,,1,0,0,,NA,39,39,105
s_191,s_191,Closed,Single,"40. Jeg har følt mig rastløs, som om jeg skulle bevæge mig hele tiden",NA,,1,0,0,,NA,40,40,106
s_192,s_192,Closed,Single,"41. Jeg har med glæde set frem til det, jeg skulle lave",NA,,1,0,0,,NA,41,41,107
s_193,s_193,Closed,Single,42. Jeg er pludselig blevet grebet af panik,NA,,1,0,0,,NA,42,42,108
s_194,s_194,Closed,Single,43. Jeg har kunnet glæde mig over en god bog eller et godt radio- eller TV-program,NA,,1,0,0,,NA,43,43,109
s_47,s_47,Closed,Single,44. Har hjertesygdommen haft negativ betydning for nærværet mellem dig og din hjertesyge partner?,NA,,1,0,0,,NA,44,44,110
s_48,s_48,Closed,Single,45. Har hjertesygdommen haft negativ betydning for jeres sexliv?,NA,,1,1,1,,NA,45,45,111
s_49,s_49,Closed,Single,46. Har du på grund af hjertesygdommen været nervøs for at have sex med den hjertesyge?,NA,,1,0,0,,NA,46,46,112
s_208,s_208,Closed,Single,"47. Har du under corona-pandemien fået den nødvendige information, så du vidste, hvad du skulle gøre, og ikke gøre, i forhold til at beskytte din hjertesyge pårørende mod smitte med corona-virus? Fx fra myndighederne, sundhedsvæsenet eller Hjerteforeningen.",NA,,1,1,1,,NA,47,47,113
s_209,s_209,Closed,Single,48. I hvor høj grad oplever du følgende som følge af corona-pandemien? Sæt ét kryds i hver linje - Bekymringer som følge af corona-pandemien er begyndt at styre mit liv,NA,,1,1,0,,NA,48,48,114
s_210,s_210,Closed,Single,48. I hvor høj grad oplever du følgende som følge af corona-pandemien? Sæt ét kryds i hver linje - Jeg undgår nødvendig kontakt med læge eller sygehus,NA,,1,1,0,,NA,48,48,115
s_211,s_211,Closed,Single,48. I hvor høj grad oplever du følgende som følge af corona-pandemien? Sæt ét kryds i hver linje - Mine bekymringer påvirker andre fx partner eller børn,NA,,1,1,0,,NA,48,48,116
s_212,s_212,Closed,Single,48. I hvor høj grad oplever du følgende som følge af corona-pandemien? Sæt ét kryds i hver linje - Mine bekymringer påvirker min søvn og evnen til at fungere,NA,,1,1,0,,NA,48,48,117
s_213,s_213,Closed,Single,"48. I hvor høj grad oplever du følgende som følge af corona-pandemien? Sæt ét kryds i hver linje - Mine bekymringer giver mig vedvarende fysiske symptomer fx hjertebanken, åndenød, træthed, koncentrationsbesvær eller irritabilitet",NA,,1,1,0,,NA,48,48,118
s_138,s_138,Closed,Single,49. Jeg ønsker at oplyse mit CPR-nummer,NA,,1,0,0,,NA,49,49,119
s_170,s_170,Open,String,49.1 Indtast venligst dit CPR-nummer: Angiv CPR-nummerets 10 tal uden mellemrum eller bindestreg.,NA,,1,0,0,,NA,49.1,49,120
s_134,s_134,Closed,Single,50.1 Er du...,NA,,1,1,0,,NA,50.1,50,121
s_135,s_135,Closed,Single,50.2 Hvilken skoleuddannelse har du?,NA,,1,1,0,,NA,50.2,50,122
s_136,s_136,Closed,Single,50.3 Har du fuldført en uddannelse udover en skole- eller ungdomsuddannelse?,NA,,1,1,0,,NA,50.3,50,123
s_137,s_137,Closed,Single,50.4 I hvilken region bor du?,NA,,1,1,0,,NA,50.4,50,124
cpr,cpr,Open,String,cpr,NA,,0,0,0,,NA,NA,,125
lobnr,lobnr,Open,Double,LOBNR,NA,,0,0,NA,,NA,NA,,126
statoverall,stato_1,Closed,Multiple,Samlet status,1,Ny,0,0,NA,,NA,NA,,127
statoverall,stato_2,Closed,Multiple,Samlet status,2,Distribueret,0,0,NA,,NA,NA,,128
statoverall,stato_3,Closed,Multiple,Samlet status,3,Nogen svar,0,0,NA,,NA,NA,,129
statoverall,stato_4,Closed,Multiple,Samlet status,4,Gennemført,0,0,NA,,NA,NA,,130
statoverall,stato_5,Closed,Multiple,Samlet status,5,Frafaldet,0,0,NA,,NA,NA,,131
t_ils_hi_score,t_ils_hi_score,NA,NA,t_ils_hi_score,NA,NA,NA,1,1,NA,NA,51,NA,132
hads_anxiety,hads_anxiety,NA,NA,hads_anxiety,NA,NA,NA,1,1,NA,NA,52,NA,133
hads_depression,hads_depression,NA,NA,hads_depression,NA,NA,NA,1,1,NA,NA,53,NA,134
who5,who5,NA,NA,who5,NA,NA,NA,1,1,NA,NA,54,NA,135
